イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,大塚 瑠晏,0,,高梨のスライダーを引っかけセカンドゴロ 1アウト
1回表,2,2.0,清宮 幸太郎,1,,見逃し三振でバッターアウト！ 2アウト
1回表,3,3.0,レイエス,2,,フォアボールを選ぶ 一塁
1回表,4,4.0,万波 中正,2,1塁,見逃し三振でバッターアウト！ 3アウト
1回裏,1,1.0,赤羽 由紘,0,,外角の球を打つもライトフライ 1アウト
1回裏,2,2.0,サンタナ,1,,ショートゴロ 2アウト
1回裏,3,3.0,岩田 幸宏,2,,ショートゴロ 3アウト
2回表,1,5.0,カストロ,0,,内角高めの真っ直ぐを打つもライトフライ 1アウト
2回表,2,6.0,野村 佑希,1,,空振り三振でバッターアウト 2アウト
2回表,3,7.0,山﨑 福也,2,,外角低めのフォークを打つもサードライナー 3アウト
2回裏,1,4.0,増田 珠,0,,ボテボテのピッチャーゴロ 1アウト
2回裏,2,5.0,武岡 龍世,1,,サードへの内野安打 一塁
2回裏,3,6.0,松下 歩叶,1,1塁,レフトへのヒット 一二塁
2回裏,4,7.0,オスナ,1,"1,2塁",四球を選ぶ。ピッチャー山﨑福也にとって痛いフォアボールとなる 満塁
2回裏,5,8.0,古賀 優大,1,満塁,ランナーフルベースから4-6-3のダブルプレー 3アウト
3回表,1,8.0,進藤 勇也,0,,外角高めの真っ直ぐを打つもセンターフライ 1アウト
3回表,2,9.0,山縣 秀,1,,ファーストゴロ 2アウト
3回表,3,1.0,大塚 瑠晏,2,,外角の変化球を打つもライトフライ 3アウト
3回裏,1,9.0,高梨 裕稔,0,,ワンバウンドした球を空振り三振 1アウト
3回裏,2,1.0,赤羽 由紘,1,,ショートフライ 2アウト
3回裏,3,2.0,サンタナ,2,,外角の落ちる球を打つもライトフライ 3アウト
4回表,1,2.0,清宮 幸太郎,0,,センターへのヒットを放つ 一塁
4回表,2,3.0,レイエス,0,1塁,一塁けん制:ランナー清宮幸帰塁フェンス直撃のツーベースを放つ 二三塁
4回表,3,4.0,万波 中正,0,"2,3塁",ワンバウンドした球に空振り、三振を喫する 1アウト
4回表,4,5.0,カストロ,1,"2,3塁",－治療中－投手交代:高梨→廣澤ボテボテのファーストゴロ三塁走者清宮幸は走塁死 2アウト一三塁
4回表,5,6.0,野村 佑希,2,"1,3塁",ランナー一三塁からレフトへのタイムリーヒットで日本ハム先制！ ヤ 0-1 日 一二塁
4回表,6,7.0,山﨑 福也,2,"1,2塁",日本ハム・カストロの本塁セーフの判定を巡り、ヤクルトがリクエストリプレー検証後判定覆る廣澤(投):暴投 二三塁内角の球を打つもセンターフライ 3アウト
4回裏,1,3.0,岩田 幸宏,0,,ショートゴロ 1アウト
4回裏,2,4.0,増田 珠,1,,内角の真っ直ぐを打つもレフトフライ 2アウト
4回裏,3,5.0,武岡 龍世,2,,ヒット 一塁
4回裏,4,6.0,松下 歩叶,2,1塁,一塁けん制:ランナー武岡帰塁一塁けん制:ランナー武岡帰塁見逃し三振でバッターアウト！ 3アウト
5回表,1,8.0,進藤 勇也,0,,空振り三振でバッターアウト 1アウト
5回表,2,9.0,山縣 秀,1,,廣澤(投)のファンブルにより出塁する 一塁
5回表,3,1.0,大塚 瑠晏,1,1塁,一塁けん制:ランナー山縣帰塁一塁けん制:ランナー山縣帰塁外角低めの球を打つもレフトフライ 2アウト
5回表,4,2.0,清宮 幸太郎,2,1塁,フォアボールを選ぶ 一二塁
5回表,5,3.0,レイエス,2,"1,2塁",－ヤクルト:コーチマウンドへむかう－ランナー一二塁の2-2からセンターへのタイムリーヒット ヤ 0-2 日 一二塁
5回表,6,4.0,万波 中正,2,"1,2塁",サードゴロ 3アウト
5回裏,1,7.0,オスナ,0,,ショートゴロ 1アウト
5回裏,2,8.0,古賀 優大,1,,ショートゴロ 2アウト
5回裏,3,,長岡 秀樹,2,,廣澤→代打:長岡外角のスライダーを引っかけてファーストゴロ 3アウト
6回表,1,5.0,カストロ,0,,投手交代:廣澤→丸山翔ファウルフライを古賀(捕)がつかんでバッターアウト 1アウト
6回表,2,6.0,野村 佑希,1,,外角のストレートを打つもライトフライ 2アウト
6回表,3,7.0,山﨑 福也,2,,サードへのファウルフライに倒れる 3アウト
6回裏,1,1.0,赤羽 由紘,0,,守備交代:センター矢澤レフトへのヒットを放つ 一塁
6回裏,2,2.0,サンタナ,0,1塁,外角低めの球を打つもセンターフライ 1アウト
6回裏,3,3.0,岩田 幸宏,1,1塁,一塁けん制:ランナー赤羽帰塁ファーストゴロ 2アウト一塁
6回裏,4,4.0,増田 珠,2,1塁,投手交代:山﨑福也→畔柳一塁けん制:ランナー岩田帰塁一塁走者岩田:盗塁を試みるもアウト 3アウト
7回表,1,8.0,進藤 勇也,0,,投手交代:丸山翔→リランソ空振り三振 1アウト
7回表,2,9.0,山縣 秀,1,,ワンバウンドした球に空振り、三振を喫する 2アウト
7回表,3,1.0,大塚 瑠晏,2,,ファウルフライを古賀(捕)が捕球してバッターアウト 3アウト
7回裏,1,4.0,増田 珠,0,,ピッチャー畔柳に代わって山本がマウンドにあがるショートへの内野安打 一塁
7回裏,2,5.0,武岡 龍世,0,1塁,6-4-3のダブルプレー 2アウト
7回裏,3,6.0,松下 歩叶,2,,空振りの三振を喫する 3アウト
8回表,1,2.0,清宮 幸太郎,0,,投手交代:リランソ→星空振り三振でバッターアウト 1アウト
8回表,2,3.0,レイエス,1,,高めのスライダーを打つもショートライナー 2アウト
8回表,3,4.0,万波 中正,2,,フォアボールを選ぶ 一塁
8回表,4,5.0,矢澤 宏太,2,1塁,ワンバウンドした球に空振り、三振を喫する 3アウト
8回裏,1,7.0,オスナ,0,,ピッチャー山本に代わって田中がマウンドにあがる　守備交代:サード奈良間守備交代:センター五十幡守備変更:矢澤センター→レフト　守備変更:野村レフト→ファーストピッチャーゴロ 1アウト
8回裏,2,,茂木 栄五郎,1,,古賀→代打:茂木セカンドフライ 2アウト
8回裏,3,,塩見 泰隆,2,,星→代打:塩見ショートフライ 3アウト
9回表,1,6.0,野村 佑希,0,,投手交代:星→阪口守備交代:キャッチャー中村悠レフトへのヒットを放つ 一塁
9回表,2,,マルティネス,0,1塁,田中→代打:マルティネス一塁走者野村→代走:細川阪口(投)の悪送球により出塁する 一三塁
9回表,3,8.0,進藤 勇也,0,"1,3塁",セーフティスクイズを試みるもピッチャーゴロとなる三塁走者細川は走塁死　一塁走者マルティネスは走塁死 2アウト二塁
9回表,4,9.0,山縣 秀,2,2塁,カウント2-2から空振り三振 3アウト
9回裏,1,1.0,赤羽 由紘,0,,ピッチャー田中に代わって柳川がマウンドにあがる　守備変更:大塚セカンド→サード　守備変更:奈良間サード→セカンド　守備変更:細川→ファーストセカンドゴロ 1アウト
9回裏,2,2.0,サンタナ,1,,センターへの二塁打 二塁
