イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,中川 圭太,0,,外角低めの球を打つもレフトフライ 1アウト
1回表,2,2.0,西川 龍馬,1,,粘りを見せて8球目に四球を選ぶ 一塁
1回表,3,3.0,紅林 弘太郎,1,1塁,内角低めの真っ直ぐを打つもセンターフライ 2アウト
1回表,4,4.0,太田 椋,2,1塁,外角の球を打つもレフトフライ 3アウト
1回裏,1,1.0,名原 典彦,0,,詰まった打球はショートゴロとなる 1アウト
1回裏,2,2.0,菊池 涼介,1,,フォアボールを選ぶ 一塁
1回裏,3,3.0,小園 海斗,1,1塁,ツーベース 二三塁
1回裏,4,4.0,坂倉 将吾,1,"2,3塁",セカンドゴロの間に広島1点をあげる 広 1-0 オ 2アウト三塁
1回裏,5,5.0,モンテロ,2,3塁,ランナー三塁の3-2からレフトへのタイムリーヒット 広 2-0 オ 一塁
1回裏,6,6.0,ファビアン,2,1塁,低めのスライダーを打つもレフトフライ 3アウト
2回表,1,5.0,西野 真弘,0,,ショートゴロ 1アウト
2回表,2,6.0,杉本 裕太郎,1,,空振りの三振を喫する 2アウト
2回表,3,7.0,平沼 翔太,2,,低めのストレートを打つもライトフライ 3アウト
2回裏,1,7.0,持丸 泰輝,0,,空振りの三振を喫する 1アウト
2回裏,2,8.0,平川 蓮,1,,ど真ん中の球を打つもライトフライ 2アウト
2回裏,3,9.0,森下 暢仁,2,,セカンドゴロ 3アウト
3回表,1,8.0,若月 健矢,0,,見逃し三振でバッターアウト！ 1アウト
3回表,2,9.0,田嶋 大樹,1,,外角低めの球をレフトへ打ってヒット 一塁
3回表,3,1.0,中川 圭太,1,1塁,粘りを見せるも8球目を空振り三振でバッターアウト 2アウト
3回表,4,2.0,西川 龍馬,2,1塁,セカンドゴロ 3アウト
3回裏,1,1.0,名原 典彦,0,,ど真ん中の落ちる球を打つもレフトフライ 1アウト
3回裏,2,2.0,菊池 涼介,1,,ショートフライ 2アウト
3回裏,3,3.0,小園 海斗,2,,ファーストゴロ 3アウト
4回表,1,3.0,紅林 弘太郎,0,,1-0からホームラン 広 2-1 オ
4回表,2,4.0,太田 椋,0,,ショートゴロ 1アウト
4回表,3,5.0,西野 真弘,1,,セカンドゴロ 2アウト
4回表,4,6.0,杉本 裕太郎,2,,センターへのヒットを放つ 一塁
4回表,5,7.0,平沼 翔太,2,1塁,レフトへのヒットを放つ 一二塁
4回表,6,8.0,若月 健矢,2,"1,2塁",ボテボテのピッチャーゴロ 3アウト
4回裏,1,4.0,坂倉 将吾,0,,カウント1-1からライトスタンドへのホームラン 広 3-1 オ
4回裏,2,5.0,モンテロ,0,,サードゴロ 1アウト
4回裏,3,6.0,ファビアン,1,,サードゴロ 2アウト
4回裏,4,7.0,持丸 泰輝,2,,カウント1-2からライトスタンドへのホームラン 広 4-1 オ
4回裏,5,8.0,平川 蓮,2,,レフトへの二塁打 二塁
4回裏,6,9.0,森下 暢仁,2,2塁,－オリックス:コーチマウンドへむかう－ランナー二塁の1-1からレフトへタイムリーツーベース！ 広 5-1 オ 二塁
4回裏,7,1.0,名原 典彦,2,2塁,ど真ん中の球を打つもライトフライ 3アウト
5回表,1,,窪田 洋祐,0,,田嶋大→代打:窪田見逃し三振でバッターアウト！ 1アウト
5回表,2,1.0,中川 圭太,1,,レフトへのツーベース 二塁
5回表,3,2.0,西川 龍馬,1,2塁,セカンドゴロ 2アウト三塁
5回表,4,3.0,紅林 弘太郎,2,3塁,カウント1-2から空振りの三振を喫する 3アウト
5回裏,1,2.0,菊池 涼介,0,,投手交代:田嶋大→博志ショートゴロ 1アウト
5回裏,2,3.0,小園 海斗,1,,外角のツーシームをライトへ打ってヒット 一塁
5回裏,3,4.0,坂倉 将吾,1,1塁,一塁けん制:ランナー小園帰塁外角の球を打つもレフトフライ 2アウト
5回裏,4,5.0,モンテロ,2,1塁,一塁けん制:ランナー小園帰塁フォアボールを選ぶ 一二塁
5回裏,5,6.0,ファビアン,2,"1,2塁",ランナー一二塁からサードへの内野安打 満塁
5回裏,6,7.0,持丸 泰輝,2,満塁,－オリックス:コーチマウンドへむかう－2アウト満塁からセカンドゴロ 3アウト
6回表,1,4.0,太田 椋,0,,ライトへのエンタイトルツーベース 二塁
6回表,2,5.0,西野 真弘,0,2塁,当てるだけのバッティングでセカンドゴロ 1アウト三塁
6回表,3,6.0,杉本 裕太郎,1,3塁,ランナー三塁からライトへの犠牲フライを放つ 広 5-2 オ 2アウト
6回表,4,7.0,平沼 翔太,2,,セカンドゴロ 3アウト
6回裏,1,8.0,平川 蓮,0,,空振り三振でバッターアウト 1アウト
6回裏,2,9.0,森下 暢仁,1,,見逃し三振 2アウト
6回裏,3,1.0,名原 典彦,2,,セカンドゴロ 3アウト
