イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,浦田 俊輔,0,,センターへのヒットを放つ 一塁
1回表,2,2.0,松本 剛,0,1塁,低めのストレートを打つもレフトフライ 1アウト
1回表,3,3.0,岸田 行倫,1,1塁,一塁けん制:ランナー浦田帰塁また一塁けん制:ランナー浦田帰塁レフトへのヒットで出塁 一三塁
1回表,4,4.0,ダルベック,1,"1,3塁",4-6-3のダブルプレー 3アウト
1回裏,1,1.0,佐藤 直樹,0,,四球 一塁
1回裏,2,2.0,辰己 涼介,0,1塁,一塁けん制:ランナー佐藤帰塁ファーストゴロ 1アウト二塁
1回裏,3,3.0,平良 竜哉,1,2塁,ファウルフライを大城(捕)が捕球してバッターアウト 2アウト
1回裏,4,4.0,浅村 栄斗,2,2塁,一打先制の場面で空振り三振！決定機を逃す 3アウト
2回表,1,5.0,大城 卓三,0,,ライトへのエンタイトルツーベース 二塁
2回表,2,6.0,キャベッジ,0,2塁,ショートゴロ 1アウト0:34【2回表】イーグルス・村林一輝 難しい打球を華麗に処理し、アウトを奪う‼ 2026年6月9日 東北楽天ゴールデンイーグルス 対 読売ジャイアンツ
2回表,3,7.0,吉川 尚輝,1,2塁,セカンドゴロ 2アウト三塁
2回表,4,8.0,泉口 友汰,2,3塁,一打先制の場面でセカンドゴロ 3アウト
2回裏,1,5.0,黒川 史陽,0,,8球粘った末にフォアボールを選ぶ 一塁
2回裏,2,6.0,マッカスカー,0,1塁,外角高めのストレートを打つもライトフライ 1アウト
2回裏,3,7.0,村林 一輝,1,1塁,ライトへのヒットを放つ 一三塁
2回裏,4,8.0,太田 光,1,"1,3塁",1アウト一三塁からセーフティスクイズを試みるもピッチャーゴロとなる三塁走者黒川は走塁死 2アウト一二塁
2回裏,5,9.0,中島 大輔,2,"1,2塁",ファウルフライをダルベック(一)がつかんでバッターアウト 3アウト
3回表,1,9.0,佐々木 俊輔,0,,センターへのヒットを放つ 一塁
3回表,2,1.0,浦田 俊輔,0,1塁,見事送りバントを決める 1アウト二塁
3回表,3,2.0,松本 剛,1,2塁,フォアボールを選ぶ 一二塁
3回表,4,3.0,岸田 行倫,1,"1,2塁",詰まった打球はセカンドゴロとなる 2アウト一三塁
3回表,5,4.0,ダルベック,2,"1,3塁",2アウト一三塁からレフトスタンドへの先制3ランホームラン！ 楽 0-3 巨
3回表,6,5.0,大城 卓三,2,,セカンドゴロ 3アウト
3回裏,1,1.0,佐藤 直樹,0,,見逃し三振でバッターアウト！ 1アウト
3回裏,2,2.0,辰己 涼介,1,,セカンドゴロ 2アウト
3回裏,3,3.0,平良 竜哉,2,,高めのストレートを打つもレフトフライ 3アウト
4回表,1,6.0,キャベッジ,0,,サードゴロ 1アウト
4回表,2,7.0,吉川 尚輝,1,,暴投による振り逃げ 一塁
4回表,3,8.0,泉口 友汰,1,1塁,一塁けん制:ランナー吉川帰塁ワンバウンドした球を空振り三振 2アウト
4回表,4,9.0,佐々木 俊輔,2,1塁,一塁けん制:ランナー吉川帰塁一塁走者吉川:盗塁成功 二塁カウント1-2からワンバウンドした球に空振り、三振を喫する 3アウト
4回裏,1,4.0,浅村 栄斗,0,,フォアボールを選ぶ 一塁
4回裏,2,5.0,黒川 史陽,0,1塁,空振りの三振を喫する 1アウト
4回裏,3,6.0,マッカスカー,1,1塁,外角高めの球を打つもライトフライ 2アウト
4回裏,4,7.0,村林 一輝,2,1塁,ショートゴロ 3アウト
5回表,1,1.0,浦田 俊輔,0,,13球目の変化球を打つもセカンドゴロ 1アウト
5回表,2,2.0,松本 剛,1,,ワンバウンドした球を空振り三振 2アウト
5回表,3,3.0,岸田 行倫,2,,センターへのヒット 一塁
5回表,4,4.0,ダルベック,2,1塁,フォアボールを選ぶ 一二塁
5回表,5,5.0,大城 卓三,2,"1,2塁",－楽天:コーチマウンドへむかう－2アウト一二塁からショートへの内野安打 満塁
5回表,6,6.0,キャベッジ,2,満塁,ど真ん中の球を打つもライトフライ 3アウト
5回裏,1,8.0,太田 光,0,,空振りの三振を喫する 1アウト
5回裏,2,9.0,中島 大輔,1,,セカンドフライ 2アウト
5回裏,3,1.0,佐藤 直樹,2,,レフトへのヒットを放つ 一塁
5回裏,4,2.0,辰己 涼介,2,1塁,ツーベース 二三塁
