イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1,名原 典彦,0,,セカンドフライ 1アウト
1回表,2,2,菊池 涼介,1,,空振りの三振を喫する 2アウト
1回表,3,3,小園 海斗,2,,内角のストレートを打つもレフトフライ 3アウト
1回裏,1,1,桑原 将志,0,,内角高めのスライダーを打つもセンターフライ 1アウト
1回裏,2,2,滝澤 夏央,1,,死球を受ける 一塁
1回裏,3,3,小島 大河,1,1塁,空振りの三振を喫する 2アウト
1回裏,4,4,ネビン,2,1塁,セカンドゴロ 3アウト
2回表,1,4,坂倉 将吾,0,,セカンドゴロ 1アウト
2回表,2,5,モンテロ,1,,外角のツーシームを打つもセンターフライ 2アウト
2回表,3,6,ファビアン,2,,カウント3-1からレフトスタンドへの先制ホームラン！ 西 0-1 広
2回表,4,7,持丸 泰輝,2,,サードフライ 3アウト
2回裏,1,5,長谷川 信哉,0,,空振りの三振を喫する 1アウト
2回裏,2,6,古賀 悠斗,1,,佐々木(三)のファンブルにより出塁する 一塁
2回裏,3,7,渡部 聖弥,1,1塁,外角低めの球を打つもライトフライ 2アウト
2回裏,4,8,源田 壮亮,2,1塁,粘りを見せて11球目に四球を選ぶ 一二塁
2回裏,5,9,西川 愛也,2,"1,2塁",2アウト一二塁から外角の球をレフトへ打ってヒット二塁走者古賀悠は走塁死 3アウト
3回表,1,8,佐々木 泰,0,,セカンドゴロ 1アウト
3回表,2,9,平川 蓮,1,,カウント2-1からレフトスタンドへのホームラン 西 0-2 広
3回表,3,1,名原 典彦,1,,低めの球を打つもセンターフライ 2アウト
3回表,4,2,菊池 涼介,2,,外角高めの球を打つもライトフライ 3アウト
3回裏,1,1,桑原 将志,0,,低めのスライダーを打つもセンターフライ 1アウト
3回裏,2,2,滝澤 夏央,1,,レフトへのヒットを放つ 一塁
3回裏,3,3,小島 大河,1,1塁,キャッチャーフライ 2アウト
3回裏,4,4,ネビン,2,1塁,セカンドゴロ 3アウト
4回表,1,3,小園 海斗,0,,ファウルフライを古賀悠(捕)が捕球してバッターアウト 1アウト
4回表,2,4,坂倉 将吾,1,,0-1からバックスクリーン右に飛び込むホームランを放つ 西 0-3 広
4回表,3,5,モンテロ,1,,空振りの三振を喫する 2アウト
4回表,4,6,ファビアン,2,,ショートゴロ 3アウト
4回裏,1,5,長谷川 信哉,0,,外角低めのツーシームを引っかけてサードゴロ 1アウト
4回裏,2,6,古賀 悠斗,1,,フォアボールを選ぶ 一塁
4回裏,3,7,渡部 聖弥,1,1塁,レフトへのヒットを放つ 一二塁
4回裏,4,8,源田 壮亮,1,"1,2塁",四球を選ぶ。ピッチャー床田にとって痛いフォアボールとなる 満塁
4回裏,5,9,西川 愛也,1,満塁,－広島:コーチマウンドへむかう－ランナーフルベースからセンターへの犠牲フライを放つ 西 1-3 広 2アウト一二塁0:53【4回裏】母校の応援を力に!! ライオンズ・西川愛也 センターへの犠牲フライで1点を返す!! 2026年6月9日 埼玉西武ライオンズ 対 広島東洋カープ
4回裏,6,1,桑原 将志,2,"1,2塁",ピッチャーゴロ 3アウト
5回表,1,7,持丸 泰輝,0,,一度もバットを振ることなく三球三振 1アウト
5回表,2,8,佐々木 泰,1,,フェンス直撃の二塁打を放つ 二塁
5回表,3,9,平川 蓮,1,2塁,1アウト二塁から内角低めのストレートを打つもセンターフライ 2アウト
