イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,立石 正広,0,,空振りの三振を喫する 1アウト
1回表,2,2.0,中野 拓夢,1,,外角のストレートを打つもレフトフライ 2アウト
1回表,3,3.0,森下 翔太,2,,ど真ん中の真っ直ぐを打つもセンターフライ 3アウト
1回裏,1,1.0,正木 智也,0,,一度もバットを振ることなく三球三振 1アウト
1回裏,2,2.0,周東 佑京,1,,センターへのヒットを放つ 一塁
1回裏,3,3.0,近藤 健介,1,1塁,一塁けん制:ランナー周東帰塁セカンドゴロ 2アウト二塁
1回裏,4,4.0,栗原 陵矢,2,2塁,四球を選ぶ 一二塁
1回裏,5,5.0,柳田 悠岐,2,"1,2塁",7球粘った末にフォアボールを選ぶ 満塁
1回裏,6,6.0,廣瀨 隆太,2,満塁,－阪神:コーチマウンドへむかう－ど真ん中のチェンジアップを引っかけてサードゴロ 3アウト
2回表,1,4.0,佐藤 輝明,0,,空振り三振 1アウト
2回表,2,5.0,大山 悠輔,1,,四球を選ぶ 一塁
2回表,3,6.0,前川 右京,1,1塁,一塁けん制:ランナー大山帰塁泳ぎながらもライトへヒットを放つ 一三塁
2回表,4,7.0,岡城 快生,1,"1,3塁",空振り三振でバッターアウト 2アウト
2回表,5,8.0,伏見 寅威,2,"1,3塁",2アウト一三塁の3-1からセンターへの先制タイムリーツーベース！ ソ 0-2 神 二塁
2回表,6,9.0,熊谷 敬宥,2,2塁,高めの球を打つもライトフライ 3アウト
2回裏,1,7.0,川瀬 晃,0,,ショートゴロ 1アウト
2回裏,2,8.0,海野 隆司,1,,空振り三振でバッターアウト 2アウト
2回裏,3,9.0,庄子 雄大,2,,サードゴロ 3アウト
3回表,1,1.0,立石 正広,0,,二塁打 二塁
3回表,2,2.0,中野 拓夢,0,2塁,阪神・中野の一塁アウトの判定を巡り、阪神がリクエストリプレー検証後判定変わらず見事送りバントを決める 1アウト三塁
3回表,3,3.0,森下 翔太,1,3塁,ストレートのフォアボールで出塁 一三塁
3回表,4,4.0,佐藤 輝明,1,"1,3塁",－ソフトバンク:コーチマウンドへむかう－ショートフライ 2アウト
