イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,蝦名 達夫,0,,空振りの三振を喫する 1アウト
1回表,2,2.0,牧 秀悟,1,,サードフライ 2アウト
1回表,3,3.0,佐野 恵太,2,,ショートゴロ 3アウト
1回裏,1,1.0,水谷 瞬,0,,空振りの三振を喫する 1アウト
1回裏,2,2.0,水野 達稀,1,,外角の球を打つもレフトフライ 2アウト
1回裏,3,3.0,レイエス,2,,四球を選ぶ 一塁
1回裏,4,4.0,野村 佑希,2,1塁,外角低めの球を打つもライトフライ 3アウト
2回表,1,4.0,筒香 嘉智,0,,ファウルフライを山縣(三)がつかんでバッターアウト 1アウト
2回表,2,5.0,度会 隆輝,1,,粘りを見せるも9球目を空振り、三振を喫する 2アウト
2回表,3,6.0,勝又 温史,2,,見逃し三振でバッターアウト！ 3アウト
2回裏,1,5.0,カストロ,0,,内角の変化球を打つもライトフライ 1アウト
2回裏,2,6.0,万波 中正,1,,ワンバウンドした球を空振り三振 2アウト
2回裏,3,7.0,山縣 秀,2,,外角低めのチェンジアップを打つもレフトフライ 3アウト
3回表,1,7.0,小田 康一郎,0,,ワンバウンドした球に空振り、三振を喫する 1アウト
3回表,2,8.0,松尾 汐恩,1,,外角低めのチェンジアップを打つもライトフライ 2アウト
3回表,3,9.0,石上 泰輝,2,,ファウルフライを水谷(左)がつかんでバッターアウト 3アウト
3回裏,1,8.0,大塚 瑠晏,0,,ショートゴロ 1アウト
3回裏,2,9.0,進藤 勇也,1,,筒香(三)のファンブルにより出塁する 一塁
3回裏,3,1.0,水谷 瞬,1,1塁,一塁けん制:ランナー進藤帰塁空振りの三振を喫する 2アウト
3回裏,4,2.0,水野 達稀,2,1塁,一塁けん制:ランナー進藤帰塁空振り三振でバッターアウト 3アウト
4回表,1,1.0,蝦名 達夫,0,,ショートフライ 1アウト
4回表,2,2.0,牧 秀悟,1,,ワンバウンドした球に空振り、三振を喫する 2アウト
4回表,3,3.0,佐野 恵太,2,,内角高めの球を打つもライトフライ 3アウト
4回裏,1,3.0,レイエス,0,,レフトへのヒットを放つ 一塁
4回裏,2,4.0,野村 佑希,0,1塁,ショートゴロ 1アウト一塁
4回裏,3,5.0,カストロ,1,1塁,一塁けん制:ランナー野村帰塁6-4-3のダブルプレー 3アウト
5回表,1,4.0,筒香 嘉智,0,,センターへのヒットで出塁 一塁
5回表,2,5.0,度会 隆輝,0,1塁,一塁けん制:ランナー筒香帰塁ストレートのフォアボールで出塁 一二塁
5回表,3,6.0,勝又 温史,0,"1,2塁",見事送りバントを決める 1アウト二三塁
5回表,4,7.0,小田 康一郎,1,"2,3塁",空振り三振 2アウト
5回表,5,8.0,松尾 汐恩,2,"2,3塁",一打先制の場面でセカンドフライ 3アウト
5回裏,1,6.0,万波 中正,0,,ファーストゴロ 1アウト
5回裏,2,7.0,山縣 秀,1,,セーフティバントを試みるもキャッチャーゴロとなる 2アウト
5回裏,3,8.0,大塚 瑠晏,2,,サードフライ 3アウト
6回表,1,9.0,石上 泰輝,0,,空振りの三振を喫する 1アウト
6回表,2,1.0,蝦名 達夫,1,,レフトへのヒットで出塁 一塁
6回表,3,2.0,牧 秀悟,1,1塁,一塁けん制:ランナー蝦名帰塁一塁けん制:ランナー蝦名帰塁一塁けん制:ランナー蝦名帰塁空振り三振に倒れるもスタートを切っていた一塁走者蝦名が盗塁成功 2アウト二塁
6回表,4,3.0,佐野 恵太,2,2塁,－日本ハム:コーチマウンドへむかう－高めの真っ直ぐを打つもライトフライ 3アウト0:28【6回表】NPB初勝利!! ファイターズ・孫易磊 今季一軍初登板で6回95球2安打8奪三振無失点の好投を見せる!! 2026年6月11日 北海道日本ハムファイターズ 対 横浜DeNAベイスターズ
6回裏,1,9.0,進藤 勇也,0,,高めの変化球を打つもライトフライ 1アウト
6回裏,2,1.0,水谷 瞬,1,,センターへのヒットを放つ 一塁
6回裏,3,2.0,水野 達稀,1,1塁,三塁側へ意表をついたセーフティバントを決める 一二塁
6回裏,4,3.0,レイエス,1,"1,2塁",1アウト一二塁から詰まりながらもライトへヒットを放つ 満塁
6回裏,5,4.0,野村 佑希,1,満塁,ランナーフルベースからライトへの犠牲フライを放つ 日 1-0 デ 2アウト一三塁
6回裏,6,5.0,カストロ,2,"1,3塁",2アウト一三塁の2-2からライトへのタイムリーヒット 日 2-0 デ 一二塁1:01【6回裏】貴重な追加点!! ファイターズ・カストロ ライト前へのタイムリーヒットを放つ!! 2026年6月11日 北海道日本ハムファイターズ 対 横浜DeNAベイスターズ
6回裏,7,6.0,万波 中正,2,"1,2塁",一塁走者カストロ→代走:五十幡ショートゴロ 3アウト
7回表,1,4.0,筒香 嘉智,0,,ピッチャー孫に代わって島本がマウンドにあがる　守備変更:五十幡→センターセカンドゴロ 1アウト
7回表,2,5.0,度会 隆輝,1,,ピッチャーゴロ 2アウト
7回表,3,6.0,勝又 温史,2,,センターへのヒットで出塁 一塁
7回表,4,,ヒュンメル,2,1塁,小田→代打:ヒュンメル全く反応できず三球三振 3アウト
7回裏,1,7.0,山縣 秀,0,,守備交代:ショート京田守備変更:石上ショート→セカンド低めのカーブを打つもライトフライ 1アウト
7回裏,2,8.0,大塚 瑠晏,1,,空振り三振でバッターアウト 2アウト
7回裏,3,9.0,進藤 勇也,2,,セカンドフライ 3アウト
8回表,1,8.0,松尾 汐恩,0,,ピッチャー島本に代わって田中がマウンドにあがる　守備交代:セカンド奈良間ピッチャー田中のグラブをはじくもショートゴロに倒れる 1アウト
8回表,2,9.0,石上 泰輝,1,,空振り三振 2アウト
8回表,3,1.0,蝦名 達夫,2,,空振り三振でバッターアウト 3アウト
8回裏,1,1.0,水谷 瞬,0,,センターへのヒットで出塁 一塁
8回裏,2,2.0,水野 達稀,0,1塁,一塁走者水谷→代走:矢澤一塁けん制:ランナー矢澤帰塁また一塁けん制:ランナー矢澤帰塁見事送りバントを決める 1アウト二塁
8回裏,3,3.0,レイエス,1,2塁,－DeNA:内野手マウンドへ集まる－1アウト二塁の1-1からレフトへタイムリーツーベース！ 日 3-0 デ 二塁
8回裏,4,4.0,野村 佑希,1,2塁,二塁走者レイエス→代走:細川－DeNA:監督マウンドへむかう－投手交代:東→坂本空振り三振でバッターアウト 2アウト
8回裏,5,5.0,五十幡 亮汰,2,2塁,カウント2-2から空振り三振 3アウト
9回表,1,2.0,牧 秀悟,0,,ピッチャー田中に代わって柳川がマウンドにあがる　守備変更:矢澤→レフトファウルフライを山縣(三)がつかんでバッターアウト 1アウト
9回表,2,3.0,佐野 恵太,1,,ファーストゴロ 2アウト
9回表,3,4.0,筒香 嘉智,2,,空振りの三振を喫する 3アウト試合終了0:40【9回表】チーム7連勝!! ファイターズ・柳川大晟 最後は空振り三振で試合を締める!! 2026年6月11日 北海道日本ハムファイターズ 対 横浜DeNAベイスターズ
