イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1,岡林 勇希,0,,レフトへのヒットで出塁 一塁
1回表,2,2,鵜飼 航丞,0,1塁,一塁けん制:ランナー岡林帰塁外角低めの落ちる球を打つもセンターフライ 1アウト
1回表,3,3,村松 開人,1,1塁,一塁けん制:ランナー岡林帰塁空振りの三振を喫する 2アウト
1回表,4,4,阿部 寿樹,2,1塁,一塁けん制:ランナー岡林帰塁外角のフォークをレフトへ打ってヒット 一二塁
1回表,5,5,サノー,2,"1,2塁",一打先制の場面で外角のストレートを打つもライトフライ 3アウト
1回裏,1,1,友杉 篤輝,0,,ファウルフライを村松(遊)がつかんでバッターアウト 1アウト
1回裏,2,2,小川 龍成,1,,詰まりながらもセンターへヒットを放つ 一塁
1回裏,3,3,西川 史礁,1,1塁,センターへの二塁打 二三塁
1回裏,4,4,ソト,1,"2,3塁",ランナー二三塁の2-2からレフトへの先制タイムリーヒット！二塁走者西川は走塁死 ロ 1-0 中 2アウト二塁0:42【1回裏】先制点!! マリーンズ・ソト 追い込まれてから低めのボールに合わせてタイムリーヒット!! 2026年6月11日 千葉ロッテマリーンズ 対 中日ドラゴンズ
1回裏,5,5,佐藤 都志也,2,2塁,ショートフライ 3アウト
2回表,1,6,細川 成也,0,,見逃し三振 1アウト
2回表,2,7,石川 昂弥,1,,センターへのヒット 一塁
2回表,3,8,石伊 雄太,1,1塁,一塁けん制:ランナー石川昂帰塁空振り三振！一塁走者石川昂も盗塁失敗でダブルプレー 3アウト
2回裏,1,6,山口 航輝,0,,セカンドゴロ 1アウト
2回裏,2,7,安田 尚憲,1,,レフトへのヒットを放つ 一塁
2回裏,3,8,池田 来翔,1,1塁,ファウルフライを石伊(捕)が捕球してバッターアウト 2アウト
2回裏,4,9,髙部 瑛斗,2,1塁,高めの球を打つもレフトフライ 3アウト
3回表,1,9,田中 幹也,0,,外角高めのストレートを打つもライトフライ 1アウト
3回表,2,1,岡林 勇希,1,,レフトへのヒットで出塁 一塁
3回表,3,2,鵜飼 航丞,1,1塁,空振りの三振を喫する 2アウト
3回表,4,3,村松 開人,2,1塁,外角の変化球を引っかけてセカンドゴロ 3アウト
3回裏,1,1,友杉 篤輝,0,,セカンドフライ 1アウト
3回裏,2,2,小川 龍成,1,,ショートへの内野安打 一塁
3回裏,3,3,西川 史礁,1,1塁,金丸(投):暴投 二塁1アウト二塁から外角低めの落ちる球を打つもセンターフライ 2アウト三塁
3回裏,4,4,ソト,2,3塁,2アウト三塁からレフトへのタイムリーヒット ロ 2-0 中 一塁
3回裏,5,5,佐藤 都志也,2,1塁,空振り三振でバッターアウト 3アウト
4回表,1,4,阿部 寿樹,0,,空振り三振 1アウト
4回表,2,5,サノー,1,,セカンドフライ 2アウト
4回表,3,6,細川 成也,2,,0-1からバックスクリーン右に飛び込むホームランを放つ ロ 2-1 中
4回表,4,7,石川 昂弥,2,,空振り三振 3アウト
4回裏,1,6,山口 航輝,0,,レフトへのヒットで出塁 一塁
4回裏,2,7,安田 尚憲,0,1塁,ライトへのヒットを放つ 一二塁
4回裏,3,8,池田 来翔,0,"1,2塁",見事送りバントを成功させる 1アウト二三塁
4回裏,4,9,髙部 瑛斗,1,"2,3塁",セカンドゴロ 2アウト
4回裏,5,1,友杉 篤輝,2,"2,3塁",フルカウントから空振り三振でバッターアウト 3アウト
5回表,1,8,石伊 雄太,0,,低めの球を打つもライトフライ 1アウト
5回表,2,9,田中 幹也,1,,レフトへのヒットで出塁 一塁
5回表,3,1,岡林 勇希,1,1塁,全く反応できず見逃し三振 2アウト
5回表,4,2,鵜飼 航丞,2,1塁,一塁けん制:ランナー田中帰塁ライトへのヒットを放つ 一二塁
5回表,5,3,村松 開人,2,"1,2塁",ピッチャーゴロ 3アウト
5回裏,1,2,小川 龍成,0,,詰まった打球はセカンドゴロとなる 1アウト
5回裏,2,3,西川 史礁,1,,見逃し三振 2アウト
5回裏,3,4,ソト,2,,ヒット打者走者ソトは走塁死 3アウト
6回表,1,4,阿部 寿樹,0,,サードゴロ 1アウト
6回表,2,5,サノー,1,,セカンドフライ 2アウト
6回表,3,6,細川 成也,2,,投手交代:小島→小野全く手が出ず見逃し三振 3アウト
6回裏,1,5,佐藤 都志也,0,,内角高めの球を打つもセカンドライナー 1アウト
6回裏,2,6,山口 航輝,1,,高めのつり球に空振り三振 2アウト
6回裏,3,7,安田 尚憲,2,,ストレートのフォアボールで出塁 一塁
6回裏,4,8,池田 来翔,2,1塁,粘りを見せて9球目にフォアボールを選ぶ 一二塁
6回裏,5,9,髙部 瑛斗,2,"1,2塁",－中日:コーチマウンドへむかう－カウント1-2から空振りの三振を喫する 3アウト
7回表,1,7,石川 昂弥,0,,ピッチャー小野に代わって中森がマウンドにあがる　守備交代:ライト山本守備変更:西川ライト→レフトフォアボール 一塁
