イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1,モンテル,0,,セカンドへの内野安打 一塁
1回表,2,2,岩田 幸宏,0,1塁,一塁けん制:ランナーモンテル帰塁ヤクルト・モンテルの一塁アウトの判定を巡り、ヤクルトがリクエストリプレー検証後判定変わらず一塁けん制:ランナーモンテル戻りきれずタッチアウト！ 1アウト7球粘った末に空振り三振でバッターアウト 2アウト
1回表,3,3,サンタナ,2,,ショートゴロ 3アウト
1回裏,1,1,宗 佑磨,0,,外角のツーシームを打つもセンターフライ 1アウト
1回裏,2,2,西川 龍馬,1,,空振りの三振を喫する 2アウト
1回裏,3,3,紅林 弘太郎,2,,ボテボテのサードゴロ 3アウト
2回表,1,4,赤羽 由紘,0,,セカンドゴロ 1アウト
2回表,2,5,塩見 泰隆,1,,ピッチャーエスピノーザのグラブをはじくもセカンドゴロに倒れる 2アウト
2回表,3,6,オスナ,2,,見逃し三振 3アウト
2回裏,1,4,太田 椋,0,,センターへのヒットで出塁モンテル(中):後逸 二塁
2回裏,2,5,中川 圭太,0,2塁,ファーストゴロ 1アウト三塁
2回裏,3,6,山中 稜真,1,3塁,内角低めのツーシームを打つもファーストライナー 2アウト
2回裏,4,7,平沼 翔太,2,3塁,一打先制の場面で外角高めの球を打つもレフトフライ 3アウト
3回表,1,7,内山 壮真,0,,全く反応できず見逃し三振 1アウト
3回表,2,8,古賀 優大,1,,セカンドゴロ 2アウト
3回表,3,9,長岡 秀樹,2,,四球を選ぶ 一塁
3回表,4,1,モンテル,2,1塁,詰まった打球はセカンドゴロとなる 3アウト
3回裏,1,8,杉澤 龍,0,,外角のカーブを打つもセンターフライ 1アウト
3回裏,2,9,若月 健矢,1,,外角低めの球を打つもレフトフライ 2アウト
3回裏,3,1,宗 佑磨,2,,サードへのファウルフライに倒れる 3アウト
4回表,1,2,岩田 幸宏,0,,センターへのヒットで出塁 一塁
4回表,2,3,サンタナ,0,1塁,一塁けん制:ランナー岩田帰塁また一塁けん制:ランナー岩田帰塁内角低めの球を打つもライトフライ 1アウト
