イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1,名原 典彦,0,,見逃し三振 1アウト
1回表,2,2,菊池 涼介,1,,フォアボールを選ぶ 一塁
1回表,3,3,ファビアン,1,1塁,粘りを見せて8球目にフォアボールを選ぶ 一二塁
1回表,4,4,坂倉 将吾,1,"1,2塁",1アウト一二塁からショートフライ 2アウト
1回表,5,5,モンテロ,2,"1,2塁",四球を選ぶ 満塁
1回表,6,6,小園 海斗,2,満塁,一打先制の場面で空振り三振！決定機を逃す 3アウト
1回裏,1,1,平良 竜哉,0,,空振り三振 1アウト
1回裏,2,2,黒川 史陽,1,,ストレートのフォアボールで出塁 一塁
1回裏,3,3,辰己 涼介,1,1塁,一塁けん制:ランナー黒川帰塁ファーストゴロ 2アウト二塁
1回裏,4,4,マッカスカー,2,2塁,一打先制の場面でハーフスイングを取られて空振り三振！決定機を逃す 3アウト
2回表,1,7,大盛 穂,0,,セカンドゴロ 1アウト
2回表,2,8,持丸 泰輝,1,,空振りの三振を喫する 2アウト
2回表,3,9,佐々木 泰,2,,低めの球を打つもセンターフライ 3アウト
2回裏,1,5,佐藤 直樹,0,,サードゴロ 1アウト
2回裏,2,6,浅村 栄斗,1,,レフトへのヒット 一塁
2回裏,3,7,村林 一輝,1,1塁,内角の変化球を打つもレフトフライ 2アウト
2回裏,4,8,石原 彪,2,1塁,ど真ん中のストレートを打つもセンターフライ 3アウト
3回表,1,1,名原 典彦,0,,外角の球を打つもセンターフライ 1アウト
3回表,2,2,菊池 涼介,1,,フォアボールを選ぶ 一塁
3回表,3,3,ファビアン,1,1塁,内野安打 一二塁
3回表,4,4,坂倉 将吾,1,"1,2塁",－試合中断－－試合再開－1アウト一二塁の3-2からライトへの先制タイムリーツーベース！ 楽 0-1 広 二三塁
3回表,5,5,モンテロ,1,"2,3塁",ファウルフライを黒川(一)が捕球してバッターアウト 2アウト
3回表,6,6,小園 海斗,2,"2,3塁",カウント2-2から見逃し三振 3アウト
3回裏,1,9,ワォーターズ,0,,セカンドゴロ 1アウト
3回裏,2,1,平良 竜哉,1,,ファウルフライを佐々木(三)がつかんでバッターアウト 2アウト
3回裏,3,2,黒川 史陽,2,,内角低めのストレートを打つもセンターフライ 3アウト
4回表,1,7,大盛 穂,0,,低めのスライダーを打つもレフトフライ 1アウト
4回表,2,8,持丸 泰輝,1,,ショートフライ 2アウト
4回表,3,9,佐々木 泰,2,,センターへのヒットを放つ 一塁
4回表,4,1,名原 典彦,2,1塁,外角の真っ直ぐを打つもライトフライ 3アウト
4回裏,1,3,辰己 涼介,0,,ショートゴロ 1アウト
4回裏,2,4,マッカスカー,1,,内角高めの球を打つもセンターフライ 2アウト
4回裏,3,5,佐藤 直樹,2,,内角低めのスライダーを打つもセンターフライ 3アウト
5回表,1,2,菊池 涼介,0,,サードゴロ 1アウト
5回表,2,3,ファビアン,1,,ピッチャー岸のグラブをはじくもセカンドゴロに倒れる 2アウト
5回表,3,4,坂倉 将吾,2,,ファウルフライを平良(三)がつかんでバッターアウト 3アウト
5回裏,1,6,浅村 栄斗,0,,ファウルフライを持丸(捕)が捕球してバッターアウト 1アウト
5回裏,2,7,村林 一輝,1,,ど真ん中の真っ直ぐを打つもライトフライ 2アウト
5回裏,3,8,石原 彪,2,,キャッチャーへのファウルフライに倒れる 3アウト
6回表,1,5,モンテロ,0,,見逃し三振 1アウト
6回表,2,6,小園 海斗,1,,内角低めの球を打つもセンターフライ 2アウト
6回表,3,7,大盛 穂,2,,センターへのスリーベース 三塁
6回表,4,8,持丸 泰輝,2,3塁,2アウト三塁からファーストフライ 3アウト
6回裏,1,9,ワォーターズ,0,,ワンバウンドした球を空振り三振 1アウト
6回裏,2,1,平良 竜哉,1,,ファウルフライを持丸(捕)が捕球してバッターアウト 2アウト
6回裏,3,2,黒川 史陽,2,,外角低めの球を打つもショートライナー 3アウト
7回表,1,9,佐々木 泰,0,,外角のストレートをセンターへ打ってヒット 一塁
7回表,2,1,名原 典彦,0,1塁,送りバント失敗 1アウト一塁
7回表,3,2,菊池 涼介,1,1塁,一塁けん制:ランナー名原帰塁一塁走者名原:盗塁を試みるもアウト 2アウトショートフライ 3アウト0:17【7回表】ベテランの投球!! イーグルス・岸孝之 7回1失点の粘投をみせマウンドを降りる!! 2026年6月12日 東北楽天ゴールデンイーグルス 対 広島東洋カープ
7回裏,1,3,辰己 涼介,0,,レフトへのヒットで出塁 一塁
7回裏,2,4,マッカスカー,0,1塁,5-4-3のダブルプレー 2アウト
7回裏,3,5,佐藤 直樹,2,,フォアボールを選ぶ 一塁
7回裏,4,6,浅村 栄斗,2,1塁,－広島:内野手マウンドへ集まる－一塁けん制:ランナー佐藤帰塁一塁けん制:ランナー佐藤帰塁フォアボールを選ぶ 一二塁
7回裏,5,7,村林 一輝,2,"1,2塁",ランナー一二塁の2-0からセンターへのタイムリーツーベースで楽天逆転！ 楽 2-1 広 二塁1:09【7回裏】ファンの期待に応えた!! イーグルス・村林一輝 左中間を破る逆転の2点タイムリー2ベース!! 2026年6月12日 東北楽天ゴールデンイーグルス 対 広島東洋カープ
7回裏,6,8,石原 彪,2,2塁,低めのスライダーを打つもレフトフライ 3アウト
8回表,1,3,ファビアン,0,,ピッチャー岸に代わって九谷がマウンドにあがる　守備交代:レフト中島外角低めのストレートを打つもセンターフライ 1アウト
8回表,2,4,坂倉 将吾,1,,ヒット 一塁
8回表,3,5,モンテロ,1,1塁,一塁走者坂倉→代走:辰見一塁けん制:ランナー辰見帰塁九谷(投):けん制球を悪送球 二塁空振りの三振を喫する 2アウト
8回表,4,6,小園 海斗,2,2塁,一打同点の場面で空振り三振でバッターアウト 3アウト
8回裏,1,9,ワォーターズ,0,,投手交代:玉村→遠藤守備変更:辰見→ファーストレフトへの二塁打 二塁0:57【8回裏】待望の一打!! イーグルス・ワォーターズ 嬉しいプロ初安打はレフトへの2ベースヒット!! 2026年6月12日 東北楽天ゴールデンイーグルス 対 広島東洋カープ
8回裏,2,1,平良 竜哉,0,2塁,送りバントを試みるもフライとなりアウト 1アウト
8回裏,3,2,黒川 史陽,1,2塁,1アウト二塁から外角低めの球を打つもレフトフライ 2アウト
8回裏,4,3,辰己 涼介,2,2塁,一塁が空いているため敬遠で勝負を避けられる 一二塁
8回裏,5,4,中島 大輔,2,"1,2塁",－広島:コーチマウンドへむかう－外角低めの落ちる球を打つもセンターフライ 3アウト
9回表,1,7,大盛 穂,0,,ピッチャー九谷に代わって藤平がマウンドにあがる　守備交代:セカンド小深田フォアボールを選ぶ 一塁
9回表,2,8,持丸 泰輝,0,1塁,一塁けん制:ランナー大盛帰塁送りバントを試みるもファウルフライとなりアウト 1アウト
9回表,3,9,佐々木 泰,1,1塁,一塁けん制:ランナー大盛帰塁内角低めのストレートを打つもセンターフライ 2アウト
9回表,4,1,名原 典彦,2,1塁,一塁けん制:ランナー大盛帰塁高めのストレートをライトへ打ってヒット 一三塁
9回表,5,2,菊池 涼介,2,"1,3塁",－楽天:コーチマウンドへむかう－一塁走者名原:盗塁成功 二三塁8球粘った末にフォアボールを選ぶ 満塁
9回表,6,3,ファビアン,2,満塁,一打逆転の場面でワンバウンドした球に空振り、三振を喫する 3アウト試合終了
