イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,浦田 俊輔,0,,サードゴロ 1アウト
1回表,2,2.0,松本 剛,1,,デッドボールを受ける 一塁
1回表,3,3.0,岸田 行倫,1,1塁,外角低めのスイーパーを打つもライトフライ 2アウト
1回表,4,4.0,ダルベック,2,1塁,詰まりながらもセンターへヒットを放つ 一三塁
1回表,5,5.0,大城 卓三,2,"1,3塁",一打先制の場面で空振り三振！決定機を逃す 3アウト
1回裏,1,1.0,カナリオ,0,,ワンバウンドした球を空振り三振 1アウト
1回裏,2,2.0,滝澤 夏央,1,,レフトへのヒットで出塁 一塁
1回裏,3,3.0,長谷川 信哉,1,1塁,カウント1-1からセンターへのタイムリーツーベースで西武先制！ 西 1-0 巨 二塁0:57【1回裏】青炎を力に変えた!! ライオンズ・長谷川信哉 左中間への先制タイムリー2べース!! 2026年6月12日 埼玉西武ライオンズ 対 読売ジャイアンツ
1回裏,4,4.0,ネビン,1,2塁,高めの変化球を打つもセンターフライ 2アウト三塁
1回裏,5,5.0,古賀 悠斗,2,3塁,2アウト三塁から高めのストレートを打つもライトフライ 3アウト
2回表,1,6.0,キャベッジ,0,,セカンドゴロ 1アウト
2回表,2,7.0,吉川 尚輝,1,,全く手が出ず見逃し三振でバッターアウト 2アウト
2回表,3,8.0,泉口 友汰,2,,見逃し三振でバッターアウト！ 3アウト
2回裏,1,6.0,桑原 将志,0,,ショートフライ 1アウト
2回裏,2,7.0,平沢 大河,1,,空振り三振でバッターアウト 2アウト
2回裏,3,8.0,渡部 聖弥,2,,ファウルフライをダルベック(一)がつかんでバッターアウト 3アウト
3回表,1,9.0,佐々木 俊輔,0,,外角高めの球を打つもレフトフライ 1アウト
3回表,2,1.0,浦田 俊輔,1,,サードゴロ 2アウト
3回表,3,2.0,松本 剛,2,,見逃し三振 3アウト
3回裏,1,9.0,石井 一成,0,,ワンバウンドした球を空振り三振 1アウト
3回裏,2,1.0,カナリオ,1,,サードゴロ 2アウト
3回裏,3,2.0,滝澤 夏央,2,,空振り三振でバッターアウト 3アウト
4回表,1,3.0,岸田 行倫,0,,四球を選ぶ 一塁
4回表,2,4.0,ダルベック,0,1塁,空振りの三振を喫する 1アウト
4回表,3,5.0,大城 卓三,1,1塁,4-6-3のダブルプレー 3アウト
4回裏,1,3.0,長谷川 信哉,0,,外角高めの球を打つもレフトフライ 1アウト
4回裏,2,4.0,ネビン,1,,見逃し三振 2アウト
4回裏,3,5.0,古賀 悠斗,2,,全く手が出ず見逃し三振 3アウト
5回表,1,6.0,キャベッジ,0,,空振り三振でバッターアウト 1アウト
5回表,2,7.0,吉川 尚輝,1,,サードゴロ 2アウト
5回表,3,8.0,泉口 友汰,2,,見逃し三振でバッターアウト！ 3アウト
5回裏,1,6.0,桑原 将志,0,,ショートゴロ 1アウト
5回裏,2,7.0,平沢 大河,1,,空振り三振でバッターアウト 2アウト
5回裏,3,8.0,渡部 聖弥,2,,空振り三振でバッターアウト 3アウト
6回表,1,9.0,佐々木 俊輔,0,,ファーストゴロ 1アウト
6回表,2,1.0,浦田 俊輔,1,,ファーストゴロ 2アウト
6回表,3,2.0,松本 剛,2,,ワンバウンドした球を空振り三振 3アウト
6回裏,1,9.0,石井 一成,0,,ストレートのフォアボールで出塁 一塁
6回裏,2,1.0,カナリオ,0,1塁,ショートゴロ 1アウト一塁
6回裏,3,2.0,滝澤 夏央,1,1塁,岸田(捕):悪送球一塁走者カナリオ:盗塁成功　一塁走者カナリオはさらに三塁まで進塁 三塁1アウト三塁の2-2からレフトへのタイムリーヒット 西 2-0 巨 一塁1:09【6回裏】逆方向に運んだ!! ライオンズ・滝澤夏央 レフトへのタイムリーで貴重な追加点!! 2026年6月12日 埼玉西武ライオンズ 対 読売ジャイアンツ
6回裏,4,3.0,長谷川 信哉,1,1塁,一塁けん制:ランナー滝澤帰塁一塁けん制:ランナー滝澤帰塁見逃し三振 2アウト
6回裏,5,4.0,ネビン,2,1塁,一塁けん制:ランナー滝澤帰塁また一塁けん制:ランナー滝澤帰塁空振り三振でバッターアウト 3アウト
7回表,1,3.0,岸田 行倫,0,,守備交代:センター西川守備変更:長谷川センター→ライト空振り三振でバッターアウト 1アウト
7回表,2,4.0,ダルベック,1,,ストレートのフォアボールで出塁 一塁
7回表,3,5.0,大城 卓三,1,1塁,見逃し三振 2アウト
7回表,4,6.0,キャベッジ,2,1塁,外角高めの真っ直ぐを打つもレフトフライ 3アウト0:33【7回表】エースの貫禄!! ライオンズ・高橋光成 7回105球10奪三振無失点の好投!! 2026年6月12日 埼玉西武ライオンズ 対 読売ジャイアンツ
7回裏,1,5.0,古賀 悠斗,0,,外角高めのストレートを打つもライトフライ 1アウト
7回裏,2,6.0,桑原 将志,1,,ワンバウンドした球に空振り、三振を喫する 2アウト
7回裏,3,7.0,平沢 大河,2,,見逃し三振 3アウト
8回表,1,7.0,吉川 尚輝,0,,ピッチャー髙橋光成に代わって佐藤隼がマウンドにあがるワンバウンドした球を空振り三振 1アウト
8回表,2,8.0,泉口 友汰,1,,ショートゴロ 2アウト
8回表,3,9.0,佐々木 俊輔,2,,7球粘るも外角高めのスライダーに見逃し三振 3アウト
8回裏,1,8.0,渡部 聖弥,0,,外角低めのチェンジアップを打つもレフトフライ 1アウト
8回裏,2,,岸 潤一郎,1,,石井→代打:岸ピッチャー竹丸のグラブをはじくもショートゴロに倒れる 2アウト
8回裏,3,1.0,西川 愛也,2,,キャベッジ(中)の落球により出塁する 二塁
8回裏,4,2.0,滝澤 夏央,2,2塁,2アウト二塁の1-0からライトへのタイムリースリーベース！ 西 3-0 巨 三塁
8回裏,5,3.0,長谷川 信哉,2,3塁,投手交代:竹丸→堀田外角高めの球を打つもライトフライ 3アウト
9回表,1,,丸 佳浩,0,,ピッチャー佐藤隼に代わって甲斐野がマウンドにあがる　守備交代:ショート源田守備変更:滝澤ショート→セカンド　守備変更:岸→レフト浦田→代打:丸外角のストレートを打つもレフトフライ 1アウト
9回表,2,2.0,松本 剛,1,,空振り三振 2アウト
9回表,3,3.0,岸田 行倫,2,,フォアボールを選ぶ 一塁
9回表,4,4.0,ダルベック,2,1塁,センターへポテンヒットを放つ 一二塁
9回表,5,5.0,大城 卓三,2,"1,2塁",－西武:内野手マウンドへ集まる－一発出れば同点の場面で高めのストレートを打つもセンターフライ 3アウト試合終了
