イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,岡林 勇希,0,,ピッチャー福島のグラブをはじく内野安打 一塁
1回表,2,2.0,山本 泰寛,0,1塁,一塁けん制:ランナー岡林帰塁外角高めの変化球を打つもレフトフライ 1アウト
1回表,3,3.0,村松 開人,1,1塁,外角低めのフォークを打つもレフトフライ 2アウト
1回表,4,4.0,サノー,2,1塁,一塁けん制:ランナー岡林帰塁高めのつり球に空振り三振 3アウト
1回裏,1,1.0,水谷 瞬,0,,外角低めのスライダーを打つもライトフライ 1アウト
1回裏,2,2.0,水野 達稀,1,,外角低めの変化球を引っかけてファーストゴロ 2アウト
1回裏,3,3.0,レイエス,2,,ライトへのヒットを放つ 一塁
1回裏,4,4.0,野村 佑希,2,1塁,見逃し三振 3アウト
2回表,1,5.0,板山 祐太郎,0,,外角低めのフォークを引っかけてファーストゴロ 1アウト
2回表,2,6.0,細川 成也,1,,全く反応できず三球三振 2アウト
2回表,3,7.0,石川 昂弥,2,,センターへのヒットを放つ 一塁
2回表,4,8.0,加藤 匠馬,2,1塁,空振り三振でバッターアウト 3アウト
2回裏,1,5.0,万波 中正,0,,内角のカットボールをセンターへ打ってヒット 一塁
2回裏,2,6.0,田宮 裕涼,0,1塁,送りバント失敗 1アウト一塁
2回裏,3,7.0,カストロ,1,1塁,一塁けん制:ランナー田宮帰塁セカンドフライ 2アウト
2回裏,4,8.0,清宮 幸太郎,2,1塁,一塁けん制:ランナー田宮帰塁サードゴロ 3アウト
3回表,1,9.0,鵜飼 航丞,0,,ど真ん中の球を打つもレフトフライ 1アウト
3回表,2,1.0,岡林 勇希,1,,空振り三振でバッターアウト 2アウト
3回表,3,2.0,山本 泰寛,2,,ファーストフライ 3アウト
3回裏,1,9.0,奈良間 大己,0,,センターへの二塁打 二塁
3回裏,2,1.0,水谷 瞬,0,2塁,詰まった打球はショートゴロ 1アウト
3回裏,3,2.0,水野 達稀,1,2塁,1アウト二塁の0-1からセンターへのタイムリースリーベースで日本ハム先制！ 日 1-0 中 三塁
3回裏,4,3.0,レイエス,1,3塁,ショートゴロ 2アウト
3回裏,5,4.0,野村 佑希,2,3塁,ランナー三塁の1-2からセンターへのタイムリーヒット 日 2-0 中 一塁
3回裏,6,5.0,万波 中正,2,1塁,一塁けん制:ランナー野村帰塁高めの球を打つもライトフライ 3アウト
4回表,1,3.0,村松 開人,0,,7球粘った末にフォアボールを選ぶ 一塁
4回表,2,4.0,サノー,0,1塁,ショートフライ 1アウト
4回表,3,5.0,板山 祐太郎,1,1塁,見逃し三振 2アウト
4回表,4,6.0,細川 成也,2,1塁,ライトへのヒットを放つ 一三塁
4回表,5,7.0,石川 昂弥,2,"1,3塁",福島(投):暴投 日 2-1 中 二塁内角低めの落ちる球を打つもレフトフライ 3アウト
4回裏,1,6.0,田宮 裕涼,0,,レフトへのヒットで出塁 一塁
4回裏,2,7.0,カストロ,0,1塁,一塁けん制:ランナー田宮帰塁一塁けん制:ランナー田宮帰塁詰まった打球はサードゴロ 1アウト一塁
4回裏,3,8.0,清宮 幸太郎,1,1塁,一塁けん制:ランナーカストロ帰塁外角低めのカットボールを打つもレフトフライ 2アウト
4回裏,4,9.0,奈良間 大己,2,1塁,一塁けん制:ランナーカストロ帰塁内角低めの真っ直ぐを打つもライトフライ 3アウト
5回表,1,8.0,加藤 匠馬,0,,セーフティバントを試みるもファーストゴロとなる 1アウト
5回表,2,9.0,鵜飼 航丞,1,,ボテボテのキャッチャーゴロ 2アウト
5回表,3,1.0,岡林 勇希,2,,セカンドゴロ 3アウト
5回裏,1,1.0,水谷 瞬,0,,レフトへのツーベース 二塁
5回裏,2,2.0,水野 達稀,0,2塁,内角低めのツーシームを打つもレフトフライ 1アウト
5回裏,3,3.0,レイエス,1,2塁,二塁けん制:ランナー水谷帰塁ショートゴロ 2アウト
5回裏,4,4.0,野村 佑希,2,2塁,二塁けん制:ランナー水谷帰塁ショートフライ 3アウト
6回表,1,2.0,山本 泰寛,0,,空振りの三振を喫する 1アウト
6回表,2,3.0,村松 開人,1,,見逃し三振でバッターアウト！ 2アウト
6回表,3,4.0,サノー,2,,外角低めの変化球を打つもレフトフライ 3アウト
6回裏,1,5.0,万波 中正,0,,投手交代:松葉→藤嶋空振りの三振を喫する 1アウト
6回裏,2,6.0,田宮 裕涼,1,,低めのストレートを打つもレフトフライ 2アウト
6回裏,3,7.0,カストロ,2,,詰まった打球はショートゴロとなる 3アウト
7回表,1,5.0,板山 祐太郎,0,,守備交代:センター五十幡外角高めのストレートを打つもセンターフライ 1アウト
7回表,2,6.0,細川 成也,1,,フォアボールを選ぶ 一塁
7回表,3,7.0,石川 昂弥,1,1塁,ファーストフライ 2アウト
7回表,4,,石伊 雄太,2,1塁,加藤→代打:石伊空振り三振 3アウト0:18【7回表】流れを呼び込む!! ファイターズ・福島蓮 7回3安打8奪三振1失点の好投!! 2026年6月13日 北海道日本ハムファイターズ 対 中日ドラゴンズ
