イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1,蝦名 達夫,0,,フォアボールを選ぶ 一塁
1回表,2,2,勝又 温史,0,1塁,セカンドゴロ 1アウト二塁
1回表,3,3,佐野 恵太,1,2塁,ランナー二塁から内角高めの真っ直ぐを打つもセンターフライ 2アウト
1回表,4,4,筒香 嘉智,2,2塁,一打先制の場面でショートフライ 3アウト
1回裏,1,1,友杉 篤輝,0,,サードへのファウルフライに倒れる 1アウト
1回裏,2,2,佐藤 都志也,1,,空振りの三振を喫する 2アウト
1回裏,3,3,西川 史礁,2,,高めのストレートを打つもライトフライ 3アウト
2回表,1,5,宮﨑 敏郎,0,,ファウルフライをソト(一)がつかんでバッターアウト 1アウト
2回表,2,6,度会 隆輝,1,,ファーストゴロ 2アウト
2回表,3,7,松尾 汐恩,2,,センターへのヒットを放つ 一塁
2回表,4,8,宮下 朝陽,2,1塁,レフトへのヒットを放つ 一二塁
2回表,5,9,三森 大貴,2,"1,2塁",一打先制の場面でセカンドゴロ 3アウト
2回裏,1,4,ソト,0,,カウント2-2から左中間へのホームランでロッテ先制！ ロ 1-0 デ0:50【2回裏】高々と上がった打球はレフトへ!! マリーンズ・ソト 先制のソロホームランを放つ!! 2026年6月14日 千葉ロッテマリーンズ 対 横浜DeNAベイスターズ
2回裏,2,5,安田 尚憲,0,,内角高めのストレートを打つもレフトフライ 1アウト
2回裏,3,6,山口 航輝,1,,空振り三振でバッターアウト 2アウト
2回裏,4,7,ポランコ,2,,ハーフスイングを取られて三球三振 3アウト
3回表,1,1,蝦名 達夫,0,,サードゴロ 1アウト
3回表,2,2,勝又 温史,1,,センターへのヒット 一塁
3回表,3,3,佐野 恵太,1,1塁,外角高めのストレートを打つもレフトフライ 2アウト
3回表,4,4,筒香 嘉智,2,1塁,一塁けん制:ランナー勝又帰塁セカンドゴロ 3アウト
3回裏,1,8,山本 大斗,0,,死球を受ける 一塁
3回裏,2,9,上田 希由翔,0,1塁,空振り三振でバッターアウト 1アウト
3回裏,3,1,友杉 篤輝,1,1塁,一塁けん制:ランナー山本帰塁一塁けん制:ランナー山本帰塁サードゴロ 2アウト二塁
3回裏,4,2,佐藤 都志也,2,2塁,ストレートのフォアボールで出塁 一二塁
3回裏,5,3,西川 史礁,2,"1,2塁",－DeNA:内野手マウンドへ集まる－フォアボールを選ぶ 満塁
3回裏,6,4,ソト,2,満塁,－DeNA:コーチマウンドへむかう－外角の真っ直ぐを打つもセンターフライ 3アウト
4回表,1,5,宮﨑 敏郎,0,,センターへのヒットを放つ 一塁
4回表,2,6,度会 隆輝,0,1塁,外角高めの真っ直ぐを打つもライトフライ 1アウト
4回表,3,7,松尾 汐恩,1,1塁,レフトへの二塁打 二三塁
4回表,4,8,宮下 朝陽,1,"2,3塁",ランナー二三塁の2-0からレフトへの同点タイムリーヒット！ ロ 1-1 デ 一三塁
4回表,5,9,三森 大貴,1,"1,3塁",－ロッテ:コーチマウンドへむかう－ファーストゴロ三塁走者松尾は走塁死 2アウト一二塁
4回表,6,1,蝦名 達夫,2,"1,2塁",カウント1-2からワンバウンドした球を空振り三振 3アウト
4回裏,1,5,安田 尚憲,0,,ど真ん中のストレートを打つもレフトフライ 1アウト
4回裏,2,6,山口 航輝,1,,センターへの二塁打 二塁
4回裏,3,7,ポランコ,1,2塁,フォアボールを選ぶ 一二塁
4回裏,4,8,山本 大斗,1,"1,2塁",6-4-3のダブルプレー 3アウト
5回表,1,2,勝又 温史,0,,投手交代:ロング→小野レフトへのヒットを放つ 一塁
5回表,2,3,佐野 恵太,0,1塁,ライトへのヒットを放つ 一二塁
5回表,3,4,筒香 嘉智,0,"1,2塁",フォアボール。ロッテ、満塁のピンチをまねく 満塁
5回表,4,5,宮﨑 敏郎,0,満塁,－ロッテ:コーチマウンドへむかう－0アウト満塁の2-2からダブルプレーの間に一人ランナーがかえりDeNA1点をあげる ロ 1-2 デ 2アウト三塁
5回表,5,6,度会 隆輝,2,3塁,2アウト三塁からショートゴロ 3アウト
5回裏,1,9,上田 希由翔,0,,カウント1-2からライトスタンドへの同点ホームラン！ ロ 2-2 デ0:43【5回裏】ファンの待つライトスタンドへ!! マリーンズ・上田希由翔 同点のソロホームランを放つ!! 2026年6月14日 千葉ロッテマリーンズ 対 横浜DeNAベイスターズ
5回裏,2,1,友杉 篤輝,0,,内角のストレートを打つもレフトフライ 1アウト
5回裏,3,2,佐藤 都志也,1,,空振り三振 2アウト
5回裏,4,3,西川 史礁,2,,四球を選ぶ 一塁
5回裏,5,4,ソト,2,1塁,－DeNA:監督マウンドへむかう－フォアボールを選ぶ 一二塁
5回裏,6,5,安田 尚憲,2,"1,2塁",投手交代:尾形→坂本死球を受ける 満塁
5回裏,7,6,山口 航輝,2,満塁,ランナーフルベースの1-2からセンターへの勝ち越しタイムリーヒット！ ロ 4-2 デ 一三塁
5回裏,8,7,ポランコ,2,"1,3塁",ファーストゴロ 3アウト
6回表,1,7,松尾 汐恩,0,,投手交代:小野→八木守備交代:セカンド宮崎竜守備変更:上田セカンド→サード見逃し三振でバッターアウト！ 1アウト
