イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,髙寺 望夢,0,,ワンバウンドした球を空振り三振 1アウト
1回表,2,2.0,中野 拓夢,1,,内角低めのチェンジアップを打つもライトフライ 2アウト
1回表,3,3.0,森下 翔太,2,,デッドボールを受ける 一塁
1回表,4,4.0,佐藤 輝明,2,1塁,ライトへのヒットを放つ 一二塁
1回表,5,5.0,大山 悠輔,2,"1,2塁",8球粘るも外角低めのスライダーに空振り三振 3アウト
1回裏,1,1.0,西川 龍馬,0,,センターへのヒットで出塁 一塁
1回裏,2,2.0,太田 椋,0,1塁,外角低めのシュートを打つもライトフライ 1アウト
1回裏,3,3.0,山中 稜真,1,1塁,外角のスライダーを打つもレフトフライ 2アウト
1回裏,4,4.0,中川 圭太,2,1塁,レフトへのツーベース一塁走者西川は走塁死 3アウト
2回表,1,6.0,嶋村 麟士朗,0,,空振りの三振を喫する 1アウト
2回表,2,7.0,木浪 聖也,1,,セカンドゴロ 2アウト
2回表,3,8.0,熊谷 敬宥,2,,ファーストフライ 3アウト
2回裏,1,5.0,宗 佑磨,0,,外角のシュートを打つもレフトフライ 1アウト
2回裏,2,6.0,西野 真弘,1,,レフトへの二塁打 二塁
2回裏,3,7.0,杉澤 龍,1,2塁,セカンドゴロ 2アウト三塁
2回裏,4,8.0,横山 聖哉,2,3塁,一打先制の場面で空振り三振！決定機を逃す 3アウト
3回表,1,9.0,坂本 誠志郎,0,,空振りの三振を喫する 1アウト
3回表,2,1.0,髙寺 望夢,1,,死球を受ける 一塁
3回表,3,2.0,中野 拓夢,1,1塁,レフトへのヒット 一二塁
3回表,4,3.0,森下 翔太,1,"1,2塁",二塁けん制:ランナー髙寺帰塁1アウト一二塁からあたりそこないの打球がファーストへ転がり内野安打で出塁 満塁
3回表,5,4.0,佐藤 輝明,1,満塁,－オリックス:コーチマウンドへむかう－ランナーフルベースの3-2からレフトへの犠牲フライを放つ阪神先制！ オ 0-1 神 2アウト一二塁
3回表,6,5.0,大山 悠輔,2,"1,2塁",ランナー一二塁から低めの球を打つもライトフライ 3アウト
3回裏,1,9.0,若月 健矢,0,,高めの変化球を打つもセンターフライ 1アウト
3回裏,2,1.0,西川 龍馬,1,,外角低めのシュートを打つもセンターフライ 2アウト
3回裏,3,2.0,太田 椋,2,,セカンドフライ 3アウト
4回表,1,6.0,嶋村 麟士朗,0,,セカンドゴロ 1アウト
4回表,2,7.0,木浪 聖也,1,,ファーストゴロ 2アウト
4回表,3,8.0,熊谷 敬宥,2,,一度もバットを振ることなく三球三振 3アウト
4回裏,1,3.0,山中 稜真,0,,ストレートのフォアボールで出塁 一塁
4回裏,2,4.0,中川 圭太,0,1塁,セカンドへの内野安打 一二塁
4回裏,3,5.0,宗 佑磨,0,"1,2塁",見事送りバントを成功させる 1アウト二三塁
4回裏,4,6.0,西野 真弘,1,"2,3塁",オリックス・山中の本塁アウトの判定を巡り、オリックスがリクエストリプレー検証後判定変わらず1アウト二三塁からファーストゴロ三塁走者山中は走塁死 2アウト一三塁
4回裏,5,7.0,杉澤 龍,2,"1,3塁",ランナー一三塁の3-2からライトへのタイムリーヒットでオリックス同点！ オ 1-1 神 一三塁1:01【4回裏】同点の一打!! バファローズ・杉澤龍 ライトへのタイムリーヒットを放つ!! 2026年6月14日 オリックス・バファローズ 対 阪神タイガース
4回裏,6,8.0,横山 聖哉,2,"1,3塁",一塁走者杉澤:盗塁成功 二三塁低めのスライダーを打つもセンターフライ 3アウト
5回表,1,9.0,坂本 誠志郎,0,,サードゴロ 1アウト
5回表,2,1.0,髙寺 望夢,1,,ファーストゴロ 2アウト
5回表,3,2.0,中野 拓夢,2,,ツーベース 二塁
