イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,内山 壮真,0,,8球粘るも外角低めの変化球に見逃し三振 1アウト
1回表,2,2.0,長岡 秀樹,1,,見逃し三振 2アウト
1回表,3,3.0,増田 珠,2,,低めの真っ直ぐを打つもライトフライ 3アウト
1回裏,1,1.0,正木 智也,0,,8球粘るも内角低めのストレートに見逃し三振 1アウト
1回裏,2,2.0,野村 勇,1,,高めの真っ直ぐを打つもレフトフライ 2アウト
1回裏,3,3.0,近藤 健介,2,,空振りの三振を喫する 3アウト
2回表,1,4.0,サンタナ,0,,フォアボールを選ぶ 一塁
2回表,2,5.0,赤羽 由紘,0,1塁,ど真ん中の真っ直ぐを打つもセンターフライ 1アウト
2回表,3,6.0,岩田 幸宏,1,1塁,たたきつける打球で内野安打 一二塁
2回表,4,7.0,中村 悠平,1,"1,2塁",デッドボール。ソフトバンク、満塁のピンチをまねく 満塁
2回表,5,8.0,オスナ,1,満塁,－ソフトバンク:コーチマウンドへむかう－ワンバウンドした球を空振り三振 2アウト
2回表,6,9.0,松下 歩叶,2,満塁,ランナーフルベースからセンターへの先制タイムリーヒット！ ソ 0-2 ヤ 一二塁
2回表,7,1.0,内山 壮真,2,"1,2塁",ショートゴロ 3アウト
2回裏,1,4.0,栗原 陵矢,0,,外角高めのストレートを打つもライトフライ 1アウト
2回裏,2,5.0,柳田 悠岐,1,,ファウルフライを松下(三)がつかんでバッターアウト 2アウト
2回裏,3,6.0,柳町 達,2,,空振りの三振を喫する 3アウト
3回表,1,2.0,長岡 秀樹,0,,死球を受ける 一塁
3回表,2,3.0,増田 珠,0,1塁,一塁けん制:ランナー長岡帰塁また一塁けん制:ランナー長岡帰塁一塁けん制:ランナー長岡帰塁セカンドゴロ 1アウト一塁
3回表,3,4.0,サンタナ,1,1塁,一塁けん制:ランナー増田帰塁四球を選ぶ 一二塁
3回表,4,5.0,赤羽 由紘,1,"1,2塁",投手交代:アルメンタ→鈴木豪セカンドフライ 2アウト
3回表,5,6.0,岩田 幸宏,2,"1,2塁",ファウルフライを栗原(三)がつかんでバッターアウト 3アウト0:22【3回表】ホークス・鈴木豪太 ピンチの場面で登板し、無失点で切り抜ける好リリーフを見せる!! 2026年6月14日 福岡ソフトバンクホークス 対 東京ヤクルトスワローズ
3回裏,1,7.0,庄子 雄大,0,,セカンドゴロ 1アウト
3回裏,2,8.0,海野 隆司,1,,ショートゴロ 2アウト
3回裏,3,9.0,牧原 大成,2,,センターへのヒットを放つ 一塁
3回裏,4,1.0,正木 智也,2,1塁,一塁けん制:ランナー牧原大帰塁内角高めのストレートを打つもセンターフライ 3アウト
4回表,1,7.0,中村 悠平,0,,ショートゴロ 1アウト
4回表,2,8.0,オスナ,1,,ヒット 一塁
4回表,3,9.0,松下 歩叶,1,1塁,キャッチャーフライ 2アウト
4回表,4,1.0,内山 壮真,2,1塁,詰まった打球はサードゴロ 3アウト
4回裏,1,2.0,野村 勇,0,,見逃し三振 1アウト
4回裏,2,3.0,近藤 健介,1,,低めの球を打つもレフトフライ 2アウト
4回裏,3,4.0,栗原 陵矢,2,,空振り三振でバッターアウト 3アウト
5回表,1,2.0,長岡 秀樹,0,,投手交代:鈴木豪→上茶谷セカンドゴロ 1アウト
5回表,2,3.0,増田 珠,1,,セカンドゴロ 2アウト
5回表,3,4.0,サンタナ,2,,2-1からライトスタンドへのホームラン ソ 0-3 ヤ
5回表,4,5.0,赤羽 由紘,2,,一度もバットを振ることなく三球三振 3アウト
5回裏,1,5.0,柳田 悠岐,0,,高めのつり球に空振り三振 1アウト
5回裏,2,6.0,柳町 達,1,,ど真ん中の変化球をセンターへ打ってヒット 一塁
5回裏,3,7.0,庄子 雄大,1,1塁,空振り三振でバッターアウト 2アウト
5回裏,4,8.0,海野 隆司,2,1塁,見逃し三振 3アウト
6回表,1,6.0,岩田 幸宏,0,,ショートへの内野安打 一塁
6回表,2,7.0,中村 悠平,0,1塁,見事送りバントを成功させる 1アウト二塁
6回表,3,8.0,オスナ,1,2塁,空振り三振でバッターアウト 2アウト
6回表,4,9.0,松下 歩叶,2,2塁,2アウト二塁の1-0からレフトへのタイムリーヒット ソ 0-4 ヤ 二塁
6回表,5,1.0,内山 壮真,2,2塁,ファウルフライを正木(一)がつかんでバッターアウト 3アウト
6回裏,1,9.0,牧原 大成,0,,サードゴロ 1アウト
6回裏,2,1.0,正木 智也,1,,セカンドフライ 2アウト
6回裏,3,2.0,野村 勇,2,,外角高めの球をセンターへ打ってヒット 一塁
6回裏,4,3.0,近藤 健介,2,1塁,外角の球を打つもレフトフライ 3アウト
7回表,1,2.0,長岡 秀樹,0,,投手交代:上茶谷→木村光ショートフライ 1アウト0:44【7回表】守備で魅せた!! ホークス・野村勇 ショート後方のフライをスーパーキャッチ!! 2026年6月14日 福岡ソフトバンクホークス 対 東京ヤクルトスワローズ
7回表,2,3.0,増田 珠,1,,外角高めの球を打つもセンターフライ 2アウト
