イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,佐藤 啓介,0,,ショートゴロ 1アウト
1回表,2,2.0,名原 典彦,1,,ショートゴロ 2アウト
1回表,3,3.0,菊池 涼介,2,,外角高めの球を打つもレフトフライ 3アウト
1回裏,1,1.0,内山 壮真,0,,ファウルフライを佐藤啓(一)がつかんでバッターアウト 1アウト
1回裏,2,2.0,長岡 秀樹,1,,フォアボールを選ぶ 一塁
1回裏,3,3.0,増田 珠,1,1塁,高めの球を打つもライトフライ 2アウト
1回裏,4,4.0,サンタナ,2,1塁,一塁けん制:ランナー長岡帰塁空振り三振でバッターアウト 3アウト
2回表,1,4.0,坂倉 将吾,0,,外角の球を打つもセンターフライ 1アウト
2回表,2,5.0,ファビアン,1,,空振りの三振を喫する 2アウト
2回表,3,6.0,小園 海斗,2,,ファーストゴロ 3アウト
2回裏,1,5.0,岩田 幸宏,0,,レフトへのヒットを放つ 一塁
2回裏,2,6.0,オスナ,0,1塁,一塁けん制:ランナー岩田帰塁また一塁けん制:ランナー岩田帰塁一塁走者岩田:盗塁成功 二塁外角高めの球を打つもセンターフライ 1アウト三塁
2回裏,3,7.0,古賀 優大,1,3塁,1アウト三塁からショートゴロ 2アウト
2回裏,4,8.0,武岡 龍世,2,3塁,一塁が空いているため敬遠される 一三塁
2回裏,5,9.0,吉村 貢司郎,2,"1,3塁",一打先制の場面でサードゴロ 3アウト
3回表,1,7.0,大盛 穂,0,,ファーストゴロ 1アウト
3回表,2,8.0,持丸 泰輝,1,,ファーストゴロ 2アウト
3回表,3,9.0,ターノック,2,,空振り三振でバッターアウト 3アウト
3回裏,1,1.0,内山 壮真,0,,サードゴロ 1アウト
3回裏,2,2.0,長岡 秀樹,1,,レフトへの二塁打 二塁
3回裏,3,3.0,増田 珠,1,2塁,ファーストゴロ 2アウト三塁
3回裏,4,4.0,サンタナ,2,3塁,フォアボールを選ぶ 一三塁
3回裏,5,5.0,岩田 幸宏,2,"1,3塁",－広島:コーチマウンドへむかう－一打先制の場面でショートゴロ 3アウト
4回表,1,1.0,佐藤 啓介,0,,セカンドゴロ 1アウト
4回表,2,2.0,名原 典彦,1,,広島・名原の一塁アウトの判定を巡り、広島がリクエストリプレー検証後判定覆る意表をついたプッシュバントをし、一塁セーフ！ 一塁
4回表,3,3.0,菊池 涼介,1,1塁,広島・名原の一塁けん制アウトの判定を巡り、広島がリクエストリプレー検証後判定変わらず一塁けん制:ランナー名原戻りきれずタッチアウト！ 2アウトセンターへのヒット 一塁
4回表,4,4.0,坂倉 将吾,2,1塁,吉村(投):ワイルドピッチ 二塁一打先制の場面でワンバウンドした球に空振り、三振を喫する 3アウト
4回裏,1,6.0,オスナ,0,,フェンス直撃の二塁打を放つ 二塁
4回裏,2,7.0,古賀 優大,0,2塁,ランナー二塁から三塁側へ意表をついたセーフティバントを決める 一三塁
4回裏,3,8.0,武岡 龍世,0,"1,3塁",0アウト一三塁の2-2から小園(遊)のフィルダースチョイスでヤクルト1点をあげる ヤ 1-0 広 一二塁
4回裏,4,9.0,吉村 貢司郎,0,"1,2塁",0アウト一二塁の1-1から内野安打坂倉(三):悪送球 ヤ 2-0 広 一三塁
4回裏,5,1.0,内山 壮真,0,"1,3塁",ランナー一三塁の1-0からレフトへタイムリーツーベース！ ヤ 3-0 広 二三塁
4回裏,6,2.0,長岡 秀樹,0,"2,3塁",0アウト二三塁の3-1からライトへの犠牲フライを放つ ヤ 4-0 広 1アウト三塁
4回裏,7,3.0,増田 珠,1,3塁,ランナー三塁の1-1からライトへの犠牲フライを放つ ヤ 5-0 広 2アウト
4回裏,8,4.0,サンタナ,2,,サードゴロ 3アウト
5回表,1,5.0,ファビアン,0,,サードフライ 1アウト
5回表,2,6.0,小園 海斗,1,,高めの球を打つもセンターフライ 2アウト
5回表,3,7.0,大盛 穂,2,,セカンドゴロ 3アウト
5回裏,1,5.0,岩田 幸宏,0,,投手交代:ターノック→黒原レフトへのヒットで出塁 一塁
5回裏,2,6.0,オスナ,0,1塁,空振りの三振を喫する 1アウト
5回裏,3,7.0,古賀 優大,1,1塁,一塁けん制:ランナー岩田帰塁ライトへのヒットを放つ 一三塁
5回裏,4,8.0,武岡 龍世,1,"1,3塁",－広島:内野手マウンドへ集まる－1アウト一三塁の1-0からレフトへの犠牲フライを放つ ヤ 6-0 広 2アウト二塁
5回裏,5,9.0,吉村 貢司郎,2,2塁,カウント1-2から空振り三振 3アウト
6回表,1,8.0,持丸 泰輝,0,,守備交代:セカンド伊藤ファーストゴロ 1アウト
6回表,2,,佐々木 泰,1,,黒原→代打:佐々木外角高めの球を打つもライトフライ 2アウト
6回表,3,1.0,佐藤 啓介,2,,当てるだけのバッティングでピッチャーゴロ 3アウト
6回裏,1,1.0,伊藤 琉偉,0,,投手交代:黒原→益田詰まった打球はセカンドゴロとなる 1アウト
6回裏,2,2.0,長岡 秀樹,1,,セカンドゴロ 2アウト
6回裏,3,3.0,増田 珠,2,,サードゴロ 3アウト
7回表,1,2.0,名原 典彦,0,,ヒット 一塁
7回表,2,3.0,菊池 涼介,0,1塁,外角高めのストレートを打つもライトフライ 1アウト
7回表,3,4.0,坂倉 将吾,1,1塁,ファーストゴロ 2アウト一塁
7回表,4,5.0,ファビアン,2,1塁,レフトスタンドへの2ランホームラン ヤ 6-2 広
7回表,5,6.0,小園 海斗,2,,ショートゴロ 3アウト
7回裏,1,4.0,サンタナ,0,,デッドボールを受ける 一塁
7回裏,2,5.0,岩田 幸宏,0,1塁,一塁走者サンタナ→代走:赤羽ハーフスイングを取られて三球三振 1アウト
