イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,福島 圭音,0,,ライトへのヒットで出塁 一塁
1回表,2,2.0,中野 拓夢,0,1塁,一塁けん制:ランナー福島帰塁見事送りバントを決める 1アウト二塁
1回表,3,3.0,森下 翔太,1,2塁,ストレートのフォアボールで出塁 一二塁
1回表,4,4.0,佐藤 輝明,1,"1,2塁",ランナー一二塁の0-1からライトへのタイムリーツーベースで阪神先制！ デ 0-1 神 二三塁
1回表,5,5.0,大山 悠輔,1,"2,3塁",ショートゴロの間に阪神1点をあげる デ 0-2 神 2アウト二塁
1回表,6,6.0,髙寺 望夢,2,2塁,2アウト二塁の2-2からライトへタイムリーツーベース！ デ 0-3 神 二塁
1回表,7,7.0,坂本 誠志郎,2,2塁,2アウト二塁の1-0からライトスタンドへの2ランホームラン デ 0-5 神
1回表,8,8.0,熊谷 敬宥,2,,ショートゴロ 3アウト
1回裏,1,1.0,蝦名 達夫,0,,7球粘るも内角低めの真っ直ぐに見逃し三振 1アウト
1回裏,2,2.0,牧 秀悟,1,,外角低めの球を打つもレフトフライ 2アウト
1回裏,3,3.0,佐野 恵太,2,,高めの球を打つもセンターフライ 3アウト
2回表,1,9.0,村上 頌樹,0,,見逃し三振 1アウト
2回表,2,1.0,福島 圭音,1,,全く手が出ず見逃し三振でバッターアウト 2アウト0:082回表、石田選手が3者連続三振を見逃しで奪う！
2回表,3,2.0,中野 拓夢,2,,見逃し三振でバッターアウト！ 3アウト
2回裏,1,4.0,筒香 嘉智,0,,高めの球を打つもセンターフライ 1アウト0:422回裏、宮崎選手のホームランで1点を返す!!
2回裏,2,5.0,宮﨑 敏郎,1,,1-2からライトスタンドへのホームラン デ 1-5 神
2回裏,3,6.0,勝又 温史,1,,泳ぎながらもセンターへヒットを放つ 一塁
2回裏,4,7.0,宮下 朝陽,1,1塁,低めの球を打つもライトフライ 2アウト
2回裏,5,8.0,戸柱 恭孝,2,1塁,セカンドゴロ 3アウト
3回表,1,3.0,森下 翔太,0,,ファーストフライ 1アウト
3回表,2,4.0,佐藤 輝明,1,,空振りの三振を喫する 2アウト
3回表,3,5.0,大山 悠輔,2,,ライトへのヒットを放つ 一塁
3回表,4,6.0,髙寺 望夢,2,1塁,サードゴロ 3アウト
3回裏,1,9.0,石田 裕太郎,0,,見逃し三振でバッターアウト！ 1アウト
3回裏,2,1.0,蝦名 達夫,1,,デッドボールを受ける 一塁0:253回裏、佐野選手のタイムリー2ベースでさらに2点返す！
3回裏,3,2.0,牧 秀悟,1,1塁,センターへの二塁打 二三塁
3回裏,4,3.0,佐野 恵太,1,"2,3塁",1アウト二三塁の1-2からライトへのタイムリーヒット森下(右):後逸 デ 3-5 神 二塁
3回裏,5,4.0,筒香 嘉智,1,2塁,セカンドゴロ 2アウト三塁
3回裏,6,5.0,宮﨑 敏郎,2,3塁,フォアボールを選ぶ 一三塁
3回裏,7,6.0,勝又 温史,2,"1,3塁",セカンドゴロ 3アウト
4回表,1,7.0,坂本 誠志郎,0,,ショートゴロ 1アウト
4回表,2,8.0,熊谷 敬宥,1,,空振り三振でバッターアウト 2アウト
4回表,3,9.0,村上 頌樹,2,,全く反応できず見逃し三振 3アウト
4回裏,1,7.0,宮下 朝陽,0,,ワンバウンドした球に空振り、三振を喫する 1アウト
4回裏,2,8.0,戸柱 恭孝,1,,フェンス直撃のツーベースを放つ 二塁
4回裏,3,9.0,石田 裕太郎,1,2塁,スリーバントを試みるも失敗！ 2アウト
4回裏,4,1.0,蝦名 達夫,2,2塁,カウント1-2からワンバウンドした球に空振り、三振を喫する 3アウト
5回表,1,1.0,福島 圭音,0,,見逃し三振 1アウト
5回表,2,2.0,中野 拓夢,1,,センターへのヒットを放つ 一塁
5回表,3,3.0,森下 翔太,1,1塁,死球を受ける 一二塁
