イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1,平良 竜哉,0,,サードゴロ 1アウト
1回表,2,2,辰己 涼介,1,,7球粘った末に四球を選ぶ 一塁
1回表,3,3,佐藤 直樹,1,1塁,一塁けん制:ランナー辰己帰塁一塁けん制:ランナー辰己帰塁空振りの三振を喫する 2アウト
1回表,4,4,マッカスカー,2,1塁,一塁けん制:ランナー辰己帰塁一塁けん制:ランナー辰己帰塁一塁けん制:ランナー辰己帰塁カウント1-1からレフトスタンドへの2ランホームランで楽天先制！ ロ 0-2 楽0:51【1回表】ライナーで突き刺した!! イーグルス・マッカスカー レフトスタンドへの第4号2ランホームランで先制!! 2026年6月19日 千葉ロッテマリーンズ 対 東北楽天ゴールデンイーグルス
1回表,5,5,黒川 史陽,2,,ライトへのヒットを放つ 一塁
1回表,6,6,浅村 栄斗,2,1塁,一塁けん制:ランナー黒川帰塁フォアボールを選ぶ 一二塁
1回表,7,7,渡邊 佳明,2,"1,2塁",－ロッテ:コーチマウンドへむかう－ど真ん中の球を打つもレフトフライ 3アウト
1回裏,1,1,小川 龍成,0,,低めのストレートを打つもセンターフライ 1アウト
1回裏,2,2,友杉 篤輝,1,,フォアボールを選ぶ 一塁
1回裏,3,3,西川 史礁,1,1塁,一塁けん制:ランナー友杉帰塁サードゴロ 2アウト一塁
1回裏,4,4,ソト,2,1塁,空振りの三振を喫する 3アウト
2回表,1,8,ワォーターズ,0,,ど真ん中の球を打つもライトフライ 1アウト
2回表,2,9,堀内 謙伍,1,,二塁打 二塁
2回表,3,1,平良 竜哉,1,2塁,ショートゴロ 2アウト
2回表,4,2,辰己 涼介,2,2塁,カウント1-2から空振り三振でバッターアウト 3アウト
2回裏,1,5,佐藤 都志也,0,,右中間へのホームラン ロ 1-2 楽
2回裏,2,6,山口 航輝,0,,ボテボテのピッチャーゴロ 1アウト
2回裏,3,7,安田 尚憲,1,,見逃し三振 2アウト
2回裏,4,8,ポランコ,2,,ワンバウンドした球を空振り三振 3アウト
3回表,1,3,佐藤 直樹,0,,センターへのヒット 一塁
3回表,2,4,マッカスカー,0,1塁,一塁けん制:ランナー佐藤帰塁また一塁けん制:ランナー佐藤帰塁ファーストゴロジャクソン(投):捕球ミス 一二塁
3回表,3,5,黒川 史陽,0,"1,2塁",見事送りバントを決める 1アウト二三塁
3回表,4,6,浅村 栄斗,1,"2,3塁",ボテボテのキャッチャーゴロ 2アウト
3回表,5,7,渡邊 佳明,2,"2,3塁",ランナー二三塁の2-2からレフトへ2点タイムリーツーベース！ ロ 1-4 楽 二塁
3回表,6,8,ワォーターズ,2,2塁,カウント1-2からワンバウンドした球を空振り三振 3アウト
3回裏,1,9,愛斗,0,,空振り三振でバッターアウト 1アウト
3回裏,2,1,小川 龍成,1,,外角低めの球を打つもライトフライ 2アウト
3回裏,3,2,友杉 篤輝,2,,たたきつける打球で内野安打 一塁
3回裏,4,3,西川 史礁,2,1塁,レフトへのヒット 一二塁
3回裏,5,4,ソト,2,"1,2塁",2アウト一二塁の1-0からレフトへ2点タイムリーツーベース！ ロ 3-4 楽 二塁
3回裏,6,5,佐藤 都志也,2,2塁,セカンドゴロ 3アウト
4回表,1,9,堀内 謙伍,0,,セカンドゴロ 1アウト
4回表,2,1,平良 竜哉,1,,ショートへの内野安打 一塁
4回表,3,2,辰己 涼介,1,1塁,一塁けん制:ランナー平良帰塁ど真ん中のチェンジアップを打つもライトフライ 2アウト
