イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,長岡 秀樹,0,,レフトへの二塁打 二塁
1回表,2,2.0,増田 珠,0,2塁,0アウト二塁からど真ん中の球を打つもライトフライ 1アウト
1回表,3,3.0,古賀 優大,1,2塁,ピッチャーゴロ二塁走者長岡は走塁死 2アウト一塁
1回表,4,4.0,オスナ,2,1塁,外角高めの球を打つもライトフライ 3アウト
1回裏,1,1.0,髙寺 望夢,0,,セカンドゴロ 1アウト
1回裏,2,2.0,中野 拓夢,1,,セカンドゴロ 2アウト
1回裏,3,3.0,森下 翔太,2,,フォアボールを選ぶ 一塁
1回裏,4,4.0,佐藤 輝明,2,1塁,内角の球を打つもライトフライ 3アウト
2回表,1,5.0,岩田 幸宏,0,,詰まった打球はファーストゴロ 1アウト
2回表,2,6.0,松下 歩叶,1,,全く反応できず三球三振 2アウト
2回表,3,7.0,赤羽 由紘,2,,熊谷(遊)の悪送球により出塁する 一塁
2回表,4,8.0,山野 太一,2,1塁,ワイルドピッチによる振り逃げ 一二塁
2回表,5,9.0,モンテル,2,"1,2塁",ファウルフライを梅野(捕)が捕球してバッターアウト 3アウト
2回裏,1,5.0,大山 悠輔,0,,ショートフライ 1アウト
2回裏,2,6.0,熊谷 敬宥,1,,レフトへのヒット 一塁
2回裏,3,7.0,濱田 太貴,1,1塁,一塁けん制:ランナー熊谷帰塁また一塁けん制:ランナー熊谷帰塁一塁けん制:ランナー熊谷帰塁外角低めのスライダーをレフトへ打ってヒット 一二塁0:53【2回裏】濱田 移籍後初ヒットは古巣から!! 先発起用に応えた!! 2026/06/23 T-S
2回裏,4,8.0,梅野 隆太郎,1,"1,2塁",1アウト一二塁の0-1からライトフライモンテル(右):悪送球阪神先制！ 神 1-0 ヤ 2アウト二塁
2回裏,5,9.0,才木 浩人,2,2塁,ピッチャーゴロ 3アウト
3回表,1,1.0,長岡 秀樹,0,,ファーストゴロ 1アウト
3回表,2,2.0,増田 珠,1,,ショートゴロ 2アウト
3回表,3,3.0,古賀 優大,2,,ライトへのヒットで出塁 一塁
3回表,4,4.0,オスナ,2,1塁,一塁けん制:ランナー古賀帰塁セカンドフライ 3アウト
3回裏,1,1.0,髙寺 望夢,0,,空振り三振でバッターアウト 1アウト
3回裏,2,2.0,中野 拓夢,1,,詰まりながらもライトへヒットを放つ 一塁
3回裏,3,3.0,森下 翔太,1,1塁,一塁けん制:ランナー中野帰塁一塁けん制:ランナー中野帰塁また一塁けん制:ランナー中野帰塁外角のストレートを打つもセンターフライ 2アウト
3回裏,4,4.0,佐藤 輝明,2,1塁,一塁けん制:ランナー中野帰塁一塁けん制:ランナー中野帰塁ショートフライ 3アウト
4回表,1,5.0,岩田 幸宏,0,,10球目のストレートを打つもショートゴロ 1アウト
4回表,2,6.0,松下 歩叶,1,,高めの球を打つもセンターフライ 2アウト
4回表,3,7.0,赤羽 由紘,2,,空振り三振でバッターアウト 3アウト
4回裏,1,5.0,大山 悠輔,0,,セカンドゴロ 1アウト
4回裏,2,6.0,熊谷 敬宥,1,,ショートゴロ 2アウト
4回裏,3,7.0,濱田 太貴,2,,ファーストフライ 3アウト
5回表,1,8.0,山野 太一,0,,ワンバウンドした球を空振り三振 1アウト
5回表,2,9.0,モンテル,1,,空振りの三振を喫する 2アウト
5回表,3,1.0,長岡 秀樹,2,,セカンドフライ 3アウト
5回裏,1,8.0,梅野 隆太郎,0,,レフトへのツーベース 二塁
5回裏,2,9.0,才木 浩人,0,2塁,二塁けん制:ランナー梅野帰塁送りバント失敗二塁走者梅野は走塁死 1アウト一塁
5回裏,3,1.0,髙寺 望夢,1,1塁,ど真ん中のストレートを打つもレフトフライ 2アウト
5回裏,4,2.0,中野 拓夢,2,1塁,一塁けん制:ランナー才木帰塁空振り三振でバッターアウト 3アウト
6回表,1,2.0,増田 珠,0,,空振りの三振を喫する 1アウト
6回表,2,3.0,古賀 優大,1,,フェンス直撃の二塁打を放つ 二塁
6回表,3,4.0,オスナ,1,2塁,フォアボールを選ぶ 一二塁
6回表,4,5.0,岩田 幸宏,1,"1,2塁",－阪神:コーチマウンドへむかう－才木(投):暴投 一三塁ワンバウンドした球を空振り三振 2アウト
6回表,5,6.0,松下 歩叶,2,"1,3塁",8球粘るも外角低めのフォークに空振り三振 3アウト0:29【6回表】才木 最後はフォーク!! 才木の勝ち!! 2026/06/23 T-S
6回裏,1,3.0,森下 翔太,0,,ピッチャーフライ 1アウト
6回裏,2,4.0,佐藤 輝明,1,,内角のフォークを打つもライトフライ 2アウト
6回裏,3,5.0,大山 悠輔,2,,ストレートのフォアボールで出塁 一塁
6回裏,4,6.0,熊谷 敬宥,2,1塁,一塁けん制:ランナー大山帰塁外角低めのスライダーを打つもセカンドライナー 3アウト
7回表,1,7.0,赤羽 由紘,0,,ピッチャー才木に代わって工藤がマウンドにあがる空振り三振でバッターアウト 1アウト
7回表,2,,塩見 泰隆,1,,山野→代打:塩見空振り三振でバッターアウト 2アウト
7回表,3,9.0,モンテル,2,,空振り三振 3アウト0:23【7回表】工藤 三者連続空振り三振!! 2026/06/23 T-S
7回裏,1,,福島 圭音,0,,投手交代:山野→リランソ濱田→代打:福島ライトへのヒットで出塁 一塁
7回裏,2,8.0,梅野 隆太郎,0,1塁,見事送りバントを成功させる 1アウト二塁
7回裏,3,,糸原 健斗,1,2塁,工藤→代打:糸原外角低めの落ちる球を打つもレフトフライ 2アウト
7回裏,4,1.0,髙寺 望夢,2,2塁,カウント2-2から空振り三振でバッターアウト 3アウト
8回表,1,1.0,長岡 秀樹,0,,ピッチャー工藤に代わって岩崎がマウンドにあがる　守備交代:レフト小野寺外角低めのストレートをセンターへ打ってヒット 一塁
8回表,2,2.0,増田 珠,0,1塁,一塁けん制:ランナー長岡帰塁一塁けん制:ランナー長岡帰塁詰まりながらもライトへヒットを放つ 一二塁
8回表,3,3.0,古賀 優大,0,"1,2塁",見事送りバントを決める 1アウト二三塁
8回表,4,4.0,オスナ,1,"2,3塁",二塁走者増田→代走:伊藤－阪神:コーチマウンドへむかう－フォアボールを選ぶ 満塁
8回表,5,5.0,岩田 幸宏,1,満塁,1アウト満塁からレフトへのタイムリーツーベースでヤクルト逆転！ 神 1-2 ヤ 二三塁
