イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,浦田 俊輔,0,,ショートフライ 1アウト
1回表,2,2.0,松本 剛,1,,内角低めの球を打つもレフトフライ 2アウト
1回表,3,3.0,泉口 友汰,2,,詰まった打球はファーストゴロ 3アウト
1回裏,1,1.0,名原 典彦,0,,空振りの三振を喫する 1アウト
1回裏,2,2.0,菊池 涼介,1,,ショートフライ 2アウト
1回裏,3,3.0,ファビアン,2,,セカンドゴロ 3アウト
2回表,1,4.0,ダルベック,0,,空振り三振 1アウト
2回表,2,5.0,大城 卓三,1,,ど真ん中のカットボールを打つもライトフライ 2アウト
2回表,3,6.0,坂本 勇人,2,,外角低めの真っ直ぐを打つもライトフライ 3アウト
2回裏,1,4.0,坂倉 将吾,0,,セカンドゴロ 1アウト
2回裏,2,5.0,小園 海斗,1,,フォアボールを選ぶ 一塁
2回裏,3,6.0,大盛 穂,1,1塁,見逃し三振でバッターアウト！ 2アウト
2回裏,4,7.0,持丸 泰輝,2,1塁,空振り三振でバッターアウト 3アウト
3回表,1,7.0,キャベッジ,0,,菊池(二)の悪送球により出塁する 一塁
3回表,2,8.0,浅野 翔吾,0,1塁,ライトへのヒットを放つ 一二塁
3回表,3,9.0,戸郷 翔征,0,"1,2塁",見事送りバントを決める 1アウト二三塁
3回表,4,1.0,浦田 俊輔,1,"2,3塁",1アウト二三塁の0-2からセンターへの犠牲フライを放つ巨人先制！ 広 0-1 巨 2アウト二塁
3回表,5,2.0,松本 剛,2,2塁,ランナー二塁の0-1からレフトへのタイムリーヒット 広 0-2 巨 一塁
3回表,6,3.0,泉口 友汰,2,1塁,一塁けん制:ランナー松本帰塁サードゴロ 3アウト
3回裏,1,8.0,勝田 成,0,,ファーストゴロ 1アウト
3回裏,2,9.0,玉村 昇悟,1,,セカンドゴロ 2アウト
3回裏,3,1.0,名原 典彦,2,,ライトへのツーベース 二塁
3回裏,4,2.0,菊池 涼介,2,2塁,フォアボールを選ぶ 一二塁
3回裏,5,3.0,ファビアン,2,"1,2塁",デッドボールを受ける 満塁
3回裏,6,4.0,坂倉 将吾,2,満塁,－巨人:コーチマウンドへむかう－2アウト満塁の3-1から押し出しのフォアボール 広 1-2 巨 満塁
3回裏,7,5.0,小園 海斗,2,満塁,2アウト満塁からど真ん中の球を打つもセンターフライ 3アウト
4回表,1,4.0,ダルベック,0,,内角高めの変化球を打つもライトフライ 1アウト
4回表,2,5.0,大城 卓三,1,,空振り三振でバッターアウト 2アウト
4回表,3,6.0,坂本 勇人,2,,ショートゴロ 3アウト
4回裏,1,6.0,大盛 穂,0,,空振りの三振を喫する 1アウト
4回裏,2,7.0,持丸 泰輝,1,,空振り三振でバッターアウト 2アウト
4回裏,3,8.0,勝田 成,2,,ショートフライ 3アウト
5回表,1,7.0,キャベッジ,0,,フォアボールを選ぶ 一塁
5回表,2,8.0,浅野 翔吾,0,1塁,内角低めの球を打つもライトフライ 1アウト
5回表,3,9.0,戸郷 翔征,1,1塁,見事送りバントを成功させる 2アウト二塁
5回表,4,1.0,浦田 俊輔,2,2塁,フォアボールを選ぶ 一二塁
5回表,5,2.0,松本 剛,2,"1,2塁",－広島:コーチマウンドへむかう－二塁けん制:ランナーキャベッジ帰塁2アウト一二塁の2-2からレフトへのタイムリーヒット 広 1-3 巨 一二塁
5回表,6,3.0,泉口 友汰,2,"1,2塁",ランナー一二塁から外角の変化球を打つもセンターフライ 3アウト
5回裏,1,,佐藤 啓介,0,,玉村→代打:佐藤啓外角高めの球を打つもセンターフライ 1アウト
5回裏,2,1.0,名原 典彦,1,,センターへのヒットを放つ 一塁
5回裏,3,2.0,菊池 涼介,1,1塁,外角低めのフォークを打つもライトフライ 2アウト
5回裏,4,3.0,ファビアン,2,1塁,ど真ん中の球を打つもライトフライ 3アウト
6回表,1,4.0,ダルベック,0,,投手交代:玉村→遠藤高めのつり球に空振り三振 1アウト
6回表,2,5.0,大城 卓三,1,,空振り三振 2アウト
6回表,3,6.0,坂本 勇人,2,,ファウルフライを名原(右)が捕球してバッターアウト 3アウト
6回裏,1,4.0,坂倉 将吾,0,,ショートゴロ 1アウト
6回裏,2,5.0,小園 海斗,1,,センターへのヒットで出塁 一塁
6回裏,3,6.0,大盛 穂,1,1塁,10球目のフォークを打つもライトフライ 2アウト
6回裏,4,7.0,持丸 泰輝,2,1塁,ストレートのフォアボールで出塁 一二塁
6回裏,5,8.0,勝田 成,2,"1,2塁",－巨人:コーチマウンドへむかう－ど真ん中のスライダーを打つもセカンドライナー 3アウト
7回表,1,7.0,キャベッジ,0,,投手交代:遠藤→髙ハーフスイングを取られて空振りの三振を喫する 1アウト
7回表,2,8.0,浅野 翔吾,1,,空振りの三振を喫する 2アウト
7回表,3,9.0,戸郷 翔征,2,,フォアボールを選ぶ 一塁
7回表,4,1.0,浦田 俊輔,2,1塁,レフトへのツーベース 二三塁
7回表,5,2.0,松本 剛,2,"2,3塁",－広島:コーチマウンドへむかう－四球を選ぶ 満塁
7回表,6,3.0,泉口 友汰,2,満塁,ランナーフルベースの1-0からセンターへ走者一掃となるタイムリーツーベース！ 広 1-6 巨 三塁
7回表,7,4.0,ダルベック,2,3塁,ランナー三塁の0-1からレフトへのタイムリーヒット 広 1-7 巨 一塁
7回表,8,5.0,大城 卓三,2,1塁,見逃し三振でバッターアウト！ 3アウト
7回裏,1,,野間 峻祥,0,,守備交代:サード門脇髙→代打:野間レフトへのヒットを放つ 一塁
7回裏,2,1.0,名原 典彦,0,1塁,空振り三振 1アウト
7回裏,3,2.0,菊池 涼介,1,1塁,レフトへのヒットを放つ 一二塁
7回裏,4,3.0,ファビアン,1,"1,2塁",デッドボール。巨人、満塁のピンチをまねく 満塁
7回裏,5,4.0,坂倉 将吾,1,満塁,投手交代:戸郷→高梨1アウト満塁からセカンドフライ 2アウト
7回裏,6,5.0,小園 海斗,2,満塁,2アウト満塁の1-2からセンターへのタイムリーヒット 広 3-7 巨 一三塁
