イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,小川 龍成,0,,セカンドゴロ 1アウト
1回表,2,2.0,西川 史礁,1,,内角低めのカットボールを打つもレフトフライ 2アウト
1回表,3,3.0,山口 航輝,2,,外角低めのフォークを打つもセンターフライ 3アウト
1回裏,1,1.0,水谷 瞬,0,,レフトへのヒットで出塁 一塁
1回裏,2,2.0,水野 達稀,0,1塁,一塁けん制:ランナー水谷帰塁見事送りバントを成功させる 1アウト二塁
1回裏,3,3.0,レイエス,1,2塁,ストレートのフォアボールで出塁 一二塁
1回裏,4,4.0,野村 佑希,1,"1,2塁",ワンバウンドした球を空振り三振 2アウト
1回裏,5,5.0,清宮 幸太郎,2,"1,2塁",ランナー一二塁の1-2からライトへの先制タイムリーツーベース！ 日 1-0 ロ 二三塁0:54【1回裏】昨日の悔しさを晴らす一打!! ファイターズ・清宮幸太郎 変化球を上手く打って先制!! 2026年6月24日 北海道日本ハムファイターズ 対 千葉ロッテマリーンズ
1回裏,6,6.0,万波 中正,2,"2,3塁",低めのフォークを打つもセンターフライ 3アウト
2回表,1,4.0,ソト,0,,低めのカットボールを打つもライトフライ 1アウト
2回表,2,5.0,佐藤 都志也,1,,空振りの三振を喫する 2アウト
2回表,3,6.0,井上 広大,2,,ショートフライ 3アウト
2回裏,1,7.0,大塚 瑠晏,0,,ファウルフライを佐藤(捕)が捕球してバッターアウト 1アウト
2回裏,2,8.0,吉田 賢吾,1,,フェンス直撃の二塁打を放つ 二塁
2回裏,3,9.0,田宮 裕涼,1,2塁,ボテボテのサードゴロ 2アウト三塁
2回裏,4,1.0,水谷 瞬,2,3塁,8球粘るも外角低めの真っ直ぐに空振り三振 3アウト
3回表,1,7.0,安田 尚憲,0,,ライトへのヒットで出塁 一塁
3回表,2,8.0,山本 大斗,0,1塁,ファーストフライ 1アウト
3回表,3,9.0,友杉 篤輝,1,1塁,サードゴロ 2アウト一塁
3回表,4,1.0,小川 龍成,2,1塁,ファウルフライを清宮幸(一)が捕球してバッターアウト 3アウト
3回裏,1,2.0,水野 達稀,0,,フェンス直撃のスリーベースを放つ 三塁
3回裏,2,3.0,レイエス,0,3塁,0アウト三塁の1-0からセンターへの犠牲フライを放つ 日 2-0 ロ 1アウト
3回裏,3,4.0,野村 佑希,1,,2-2からホームラン 日 3-0 ロ0:45【3回裏】4番の一振り!! ファイターズ・野村佑希 内角を上手く捌いた打球はそのままスタンドイン!! 2026年6月24日 北海道日本ハムファイターズ 対 千葉ロッテマリーンズ
3回裏,4,5.0,清宮 幸太郎,1,,サードフライ 2アウト
3回裏,5,6.0,万波 中正,2,,見逃し三振 3アウト
4回表,1,2.0,西川 史礁,0,,外角低めの落ちる球を引っかけてサードゴロ 1アウト
4回表,2,3.0,山口 航輝,1,,低めのフォークを打つもレフトフライ 2アウト
4回表,3,4.0,ソト,2,,内角高めのカットボールを打つもレフトフライ 3アウト
4回裏,1,7.0,大塚 瑠晏,0,,空振り三振でバッターアウト 1アウト
4回裏,2,8.0,吉田 賢吾,1,,レフトへのヒットで出塁 一塁
4回裏,3,9.0,田宮 裕涼,1,1塁,ファウルフライを安田(三)がつかんでバッターアウト 2アウト
4回裏,4,1.0,水谷 瞬,2,1塁,1-0からライトスタンドへの2ランホームラン 日 5-0 ロ
4回裏,5,2.0,水野 達稀,2,,－ロッテ:内野手マウンドへ集まる－ショートフライ 3アウト
5回表,1,5.0,佐藤 都志也,0,,外角のカットボールを打つもレフトフライ 1アウト
5回表,2,6.0,井上 広大,1,,見逃し三振でバッターアウト！ 2アウト
5回表,3,7.0,安田 尚憲,2,,ファーストゴロ 3アウト
5回裏,1,3.0,レイエス,0,,ショートゴロ 1アウト
5回裏,2,4.0,野村 佑希,1,,2-1からスタンド上段に飛び込むホームランを放つ 日 6-0 ロ
5回裏,3,5.0,清宮 幸太郎,1,,ライトへのヒットを放つ 一塁
5回裏,4,6.0,万波 中正,1,1塁,5-4-3のダブルプレー 3アウト
6回表,1,8.0,山本 大斗,0,,レフトへの二塁打 二塁
6回表,2,9.0,友杉 篤輝,0,2塁,0アウト二塁から低めのカットボールを打つもセンターフライ 1アウト
6回表,3,1.0,小川 龍成,1,2塁,ショートゴロ 2アウト三塁
6回表,4,2.0,西川 史礁,2,3塁,内角の球を打つもセンターフライ 3アウト
6回裏,1,7.0,大塚 瑠晏,0,,投手交代:河村→高野脩守備交代:キャッチャー松川内角のストレートを打つもセカンドライナー 1アウト
6回裏,2,8.0,吉田 賢吾,1,,サードゴロ 2アウト
6回裏,3,9.0,田宮 裕涼,2,,ライトへのヒットで出塁 一塁
6回裏,4,1.0,水谷 瞬,2,1塁,フォアボールを選ぶ 一二塁
6回裏,5,2.0,水野 達稀,2,"1,2塁",カウント2-2から空振り三振でバッターアウト 3アウト
7回表,1,3.0,山口 航輝,0,,セカンドフライ 1アウト
7回表,2,4.0,ソト,1,,センターへのヒットで出塁 一塁
7回表,3,5.0,松川 虎生,1,1塁,ピッチャーフライ 2アウト
7回表,4,,ポランコ,2,1塁,井上→代打:ポランコフルカウントからライトスタンドへの2ランホームラン 日 6-2 ロ0:59【7回表】代打で大仕事!! マリーンズ・ポランコ ライトへ確信の2ランホームランを放つ!! 2026年6月24日 北海道日本ハムファイターズ 対 千葉ロッテマリーンズ
7回表,5,7.0,安田 尚憲,2,,ど真ん中の落ちる球を打つもレフトフライ 3アウト
7回裏,1,3.0,レイエス,0,,投手交代:高野脩→小野カウント0-1からホームラン 日 7-2 ロ
7回裏,2,4.0,野村 佑希,0,,低めの球を打つもサードライナー 1アウト
7回裏,3,5.0,清宮 幸太郎,1,,ライトへのヒットを放つ 一塁
7回裏,4,6.0,万波 中正,1,1塁,サードゴロ 2アウト一塁
7回裏,5,,奈良間 大己,2,1塁,大塚→代打:奈良間内角低めのフォークを打つもセカンドライナー 3アウト
8回表,1,8.0,山本 大斗,0,,投手交代:加藤貴→柳川守備交代:サード山縣守備交代:センター五十幡守備変更:奈良間→セカンドサードゴロ 1アウト
8回表,2,,宮崎 竜成,1,,友杉→代打:宮崎竜粘りを見せて9球目にフォアボールを選ぶ 一塁
8回表,3,1.0,小川 龍成,1,1塁,柳川(投):ワイルドピッチ 二塁ワンバウンドした球を空振り三振 2アウト
8回表,4,2.0,西川 史礁,2,2塁,フォアボールを選ぶ 一二塁
8回表,5,3.0,山口 航輝,2,"1,2塁",－日本ハム:コーチマウンドへむかう－ランナー一二塁から2点タイムリーツーベース！ 日 7-4 ロ 二塁
8回表,6,4.0,ソト,2,2塁,ピッチャー柳川に代わって島本がマウンドにあがるカウント1-2からワンバウンドした球に空振り、三振を喫する 3アウト
8回裏,1,8.0,五十幡 亮汰,0,,投手交代:小野→益田守備変更:宮崎竜→ショートセカンドゴロ 1アウト
8回裏,2,9.0,田宮 裕涼,1,,ファーストフライ 2アウト
8回裏,3,1.0,水谷 瞬,2,,詰まりながらもライトへヒットを放つ 一塁
8回裏,4,2.0,水野 達稀,2,1塁,一塁走者水谷→代走:矢澤外角の真っ直ぐを打つもレフトフライ 3アウト
9回表,1,5.0,松川 虎生,0,,ピッチャー島本に代わって達がマウンドにあがる　守備変更:矢澤→レフト外角のスイーパーを打つもライトフライ 1アウト
9回表,2,6.0,ポランコ,1,,空振りの三振を喫する 2アウト
9回表,3,7.0,安田 尚憲,2,,外角高めの球を打つもセンターフライ 3アウト試合終了
