イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,名原 典彦,0,,当てるだけのバッティングでファーストゴロ 1アウト
1回表,2,2.0,大盛 穂,1,,空振り三振でバッターアウト 2アウト
1回表,3,3.0,菊池 涼介,2,,レフトへのヒットで出塁 一塁
1回表,4,4.0,坂倉 将吾,2,1塁,セカンドゴロ 3アウト
1回裏,1,1.0,勝又 温史,0,,ショートゴロ 1アウト
1回裏,2,2.0,牧 秀悟,1,,空振り三振でバッターアウト 2アウト
1回裏,3,3.0,佐野 恵太,2,,センターへのツーベース 二塁
1回裏,4,4.0,宮﨑 敏郎,2,2塁,一打先制の場面でセカンドゴロ 3アウト
2回表,1,5.0,小園 海斗,0,,当てるだけのバッティングでサードゴロ 1アウト
2回表,2,6.0,佐々木 泰,1,,ショートゴロ 2アウト
2回表,3,7.0,モンテロ,2,,ファーストゴロ 3アウト
2回裏,1,5.0,松尾 汐恩,0,,ライトへのヒットで出塁 一塁
2回裏,2,6.0,蝦名 達夫,0,1塁,詰まりながらもセンターへヒットを放つ 一二塁
2回裏,3,7.0,九鬼 隆平,0,"1,2塁",空振り三振でバッターアウト 1アウト
2回裏,4,8.0,宮下 朝陽,1,"1,2塁",ランナー一二塁の1-0からセカンドへのタイムリー内野安打でDeNA先制！ デ 1-0 広 一二塁
2回裏,5,9.0,東 克樹,1,"1,2塁",スリーバントを試みるも失敗！ 2アウト
2回裏,6,1.0,勝又 温史,2,"1,2塁",死球を受ける 満塁
2回裏,7,2.0,牧 秀悟,2,満塁,－広島:コーチマウンドへむかう－2アウト満塁の2-0からレフトへのタイムリーヒット デ 3-0 広 一二塁
2回裏,8,3.0,佐野 恵太,2,"1,2塁",セカンドゴロ 3アウト
3回表,1,8.0,石原 貴規,0,,空振りの三振を喫する 1アウト
3回表,2,9.0,玉村 昇悟,1,,見逃し三振 2アウト
3回表,3,1.0,名原 典彦,2,,ライトへのヒットを放つ 一塁
3回表,4,2.0,大盛 穂,2,1塁,詰まりながらもライトへヒットを放つ 一三塁
3回表,5,3.0,菊池 涼介,2,"1,3塁",一塁けん制:ランナー大盛帰塁一塁走者大盛がスタート！アウトになるもその間に三塁走者名原は本塁生還 デ 3-1 広 3アウト
3回裏,1,4.0,宮﨑 敏郎,0,,センターへのヒットで出塁 一塁
3回裏,2,5.0,松尾 汐恩,0,1塁,外角のフォークを打つもレフトフライ 1アウト
3回裏,3,6.0,蝦名 達夫,1,1塁,内角高めのスライダーを打つもライトフライ一塁走者宮﨑も戻れずダブルプレー！ 3アウト
4回表,1,3.0,菊池 涼介,0,,ライトへのツーベース 二塁
4回表,2,4.0,坂倉 将吾,0,2塁,ランナー二塁からセンターへのヒットを放つ 一三塁
4回表,3,5.0,小園 海斗,0,"1,3塁",－DeNA:内野手マウンドへ集まる－ファーストゴロの間に広島1点をあげる デ 3-2 広 1アウト二塁
