イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1,カナリオ,0,,外角低めのスライダーを打つもライトフライ 1アウト
1回表,2,2,滝澤 夏央,1,,低めの変化球をセンターへ打ってヒット 一塁
1回表,3,3,長谷川 信哉,1,1塁,一塁けん制:ランナー滝澤帰塁一塁けん制:ランナー滝澤帰塁サードフライ 2アウト
1回表,4,4,ネビン,2,1塁,一塁走者滝澤:盗塁成功 二塁－審判協議中－一打先制の場面で空振り三振！決定機を逃す 3アウト
1回裏,1,1,正木 智也,0,,詰まった打球はセカンドゴロ 1アウト
1回裏,2,2,周東 佑京,1,,セカンドゴロ 2アウト
1回裏,3,3,近藤 健介,2,,セカンドゴロ 3アウト
2回表,1,5,林 安可,0,,空振りの三振を喫する 1アウト
2回表,2,6,小島 大河,1,,ファーストゴロ 2アウト
2回表,3,7,石井 一成,2,,空振り三振でバッターアウト 3アウト
2回裏,1,4,栗原 陵矢,0,,セカンドゴロ 1アウト
2回裏,2,5,牧原 大成,1,,空振り三振でバッターアウト 2アウト
2回裏,3,6,柳町 達,2,,セカンドへの内野安打 一塁
2回裏,4,7,柳田 悠岐,2,1塁,セカンドへの内野安打 一二塁
2回裏,5,8,海野 隆司,2,"1,2塁",一打先制の場面で空振り三振！決定機を逃す 3アウト
3回表,1,8,渡部 聖弥,0,,空振りの三振を喫する 1アウト
3回表,2,9,西川 愛也,1,,正木(一)のファンブルにより出塁する 一塁
3回表,3,1,カナリオ,1,1塁,ど真ん中の変化球を打つもセンターフライ 2アウト
3回表,4,2,滝澤 夏央,2,1塁,一塁けん制:ランナー西川帰塁レフトへのヒットを放つ 一二塁0:32【3回表】本日マルチ安打!! ライオンズ・滝澤夏央 チャンスを拡大するレフト前へのヒット!! 2026年6月30日 福岡ソフトバンクホークス 対 埼玉西武ライオンズ
3回表,5,3,長谷川 信哉,2,"1,2塁",一打先制の場面でサードゴロ 3アウト
3回裏,1,9,庄子 雄大,0,,渡部(三)のファンブルにより出塁する 一塁
3回裏,2,1,正木 智也,0,1塁,ソフトバンク・庄子の二塁盗塁アウトの判定を巡り、ソフトバンクがリクエストリプレー検証後判定覆る一塁走者庄子:盗塁成功 二塁空振りの三振を喫する 1アウト
3回裏,3,2,周東 佑京,1,2塁,セカンドゴロ 2アウト三塁
3回裏,4,3,近藤 健介,2,3塁,一打先制の場面でショートゴロ 3アウト
4回表,1,4,ネビン,0,,ショートゴロ 1アウト
4回表,2,5,林 安可,1,,7球粘るも外角高めのストレートに空振り三振 2アウト
