イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,藤原 恭大,0,,ライトスタンドへの先制ホームラン！ ソ 0-1 ロ0:45【1回表】プレーボールHR!! マリーンズ・藤原恭大 初球を振り抜いて第3号先制アーチ!! 2026年7月4日 福岡ソフトバンクホークス 対 千葉ロッテマリーンズ
1回表,2,2.0,西川 史礁,0,,ショートゴロ 1アウト
1回表,3,3.0,山口 航輝,1,,外角のフォークを打つもライトフライ 2アウト
1回表,4,4.0,佐藤 都志也,2,,ファーストゴロ 3アウト
1回裏,1,1.0,正木 智也,0,,センターへのヒットを放つ 一塁
1回裏,2,2.0,周東 佑京,0,1塁,センターへのヒットを放つ 一二塁
1回裏,3,3.0,近藤 健介,0,"1,2塁",内角の真っ直ぐを打つもレフトフライ 1アウト
1回裏,4,4.0,栗原 陵矢,1,"1,2塁",ランナー一二塁から内角のストレートを打つもレフトフライ 2アウト
1回裏,5,5.0,牧原 大成,2,"1,2塁",全く手が出ず見逃し三振！決定機を逃す 3アウト
2回表,1,5.0,ソト,0,,空振りの三振を喫する 1アウト
2回表,2,6.0,寺地 隆成,1,,四球を選ぶ 一塁
2回表,3,7.0,安田 尚憲,1,1塁,ピッチャーゴロ 2アウト一塁
2回表,4,8.0,小川 龍成,2,1塁,泳ぎながらもセンターへヒットを放つ 一二塁
2回表,5,9.0,友杉 篤輝,2,"1,2塁",庄子(遊)のフィルダースチョイスによりオールセーフ！ 満塁
2回表,6,1.0,藤原 恭大,2,満塁,－ソフトバンク:コーチマウンドへむかう－ランナーフルベースの3-1から押し出しのフォアボール ソ 0-2 ロ 満塁
2回表,7,2.0,西川 史礁,2,満塁,2アウト満塁の3-1から押し出しのフォアボール ソ 0-3 ロ 満塁
2回表,8,3.0,山口 航輝,2,満塁,2アウト満塁の1-2からレフトへのタイムリーヒット ソ 0-5 ロ 一二塁
2回表,9,4.0,佐藤 都志也,2,"1,2塁",ランナー一二塁の0-2からレフトへタイムリーツーベース！ ソ 0-6 ロ 二三塁
