イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,浦田 俊輔,0,,センターへのヒットを放つ 一塁
1回表,2,2.0,松本 剛,0,1塁,一塁けん制:ランナー浦田帰塁また一塁けん制:ランナー浦田帰塁ライトへのヒットで出塁 一二塁
1回表,3,3.0,キャベッジ,0,"1,2塁",フォアボール。DeNA、満塁のピンチをまねく 満塁
1回表,4,4.0,ダルベック,0,満塁,ランナーフルベースからライトスタンドへの満塁ホームランで巨人先制！ デ 0-4 巨
1回表,5,5.0,大城 卓三,0,,二塁打 二塁
1回表,6,6.0,知念 大成,0,2塁,－DeNA:内野手マウンドへ集まる－高めのつり球に空振り三振 1アウト
1回表,7,7.0,リチャード,1,2塁,ランナー二塁から外角のスライダーを打つもセンターフライ 2アウト
1回表,8,8.0,門脇 誠,2,2塁,一塁が空いているため敬遠される 一二塁
1回表,9,9.0,ウィットリー,2,"1,2塁",ランナー一二塁からあたりそこないの打球がサードへ転がり内野安打で出塁 満塁
1回表,10,1.0,浦田 俊輔,2,満塁,セカンドゴロ 3アウト
1回裏,1,1.0,勝又 温史,0,,ショートゴロ 1アウト
1回裏,2,2.0,牧 秀悟,1,,フォアボールを選ぶ 一塁
1回裏,3,3.0,筒香 嘉智,1,1塁,センターへの二塁打 二三塁
1回裏,4,4.0,エンカーナシオン,1,"2,3塁",1アウト二三塁からセンターへのタイムリーヒット デ 1-4 巨 一三塁
1回裏,5,5.0,宮﨑 敏郎,1,"1,3塁",セカンドゴロの間にDeNA1点をあげる デ 2-4 巨 2アウト二塁
1回裏,6,6.0,松尾 汐恩,2,2塁,カウント2-2から空振りの三振を喫する 3アウト
2回表,1,2.0,松本 剛,0,,高めの球を打つもライトフライ 1アウト
2回表,2,3.0,キャベッジ,1,,ショートフライ 2アウト
2回表,3,4.0,ダルベック,2,,高めの球を打つもセンターフライ 3アウト
2回裏,1,7.0,蝦名 達夫,0,,空振り三振でバッターアウト 1アウト
2回裏,2,8.0,石上 泰輝,1,,センターへのヒットを放つ 一塁
2回裏,3,9.0,尾形 崇斗,1,1塁,ウィットリー(投):けん制球を悪送球 二塁見事送りバントを成功させる 2アウト三塁
2回裏,4,1.0,勝又 温史,2,3塁,2アウト三塁の1-1からセンターへタイムリーツーベース！ デ 3-4 巨 二塁
2回裏,5,2.0,牧 秀悟,2,2塁,サードゴロ 3アウト
3回表,1,5.0,大城 卓三,0,,フォアボールを選ぶ 一塁
3回表,2,6.0,知念 大成,0,1塁,巨人・知念の一塁セーフの判定を巡り、DeNAがリクエストリプレー検証後判定覆る4-6-3のダブルプレー 2アウト
3回表,3,7.0,リチャード,2,,ストレートのフォアボールで出塁 一塁
