イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,名原 典彦,0,,空振り三振でバッターアウト 1アウト
1回表,2,2.0,菊池 涼介,1,,空振り三振でバッターアウト 2アウト
1回表,3,3.0,ファビアン,2,,サードゴロ 3アウト
1回裏,1,1.0,岡林 勇希,0,,ファーストゴロ 1アウト
1回裏,2,2.0,細川 成也,1,,レフトスタンドへの先制ホームラン！ 中 1-0 広
1回裏,3,3.0,村松 開人,1,,サードゴロ 2アウト
1回裏,4,4.0,サノー,2,,フォアボールを選ぶ 一塁
1回裏,5,5.0,石川 昂弥,2,1塁,空振りの三振を喫する 3アウト
2回表,1,4.0,坂倉 将吾,0,,ショートゴロ 1アウト
2回表,2,5.0,小園 海斗,1,,ファウルフライを村松(遊)が捕球してバッターアウト 2アウト
2回表,3,6.0,モンテロ,2,,内角低めのカットボールを打つもレフトフライ 3アウト
2回裏,1,6.0,石伊 雄太,0,,ボテボテのキャッチャーゴロ 1アウト
2回裏,2,7.0,ボスラー,1,,ワンバウンドした球に空振り、三振を喫する 2アウト
2回裏,3,8.0,田中 幹也,2,,高めの真っ直ぐを打つもセンターフライ 3アウト
3回表,1,7.0,佐々木 泰,0,,センターへのヒットを放つ 一塁
3回表,2,8.0,石原 貴規,0,1塁,一塁けん制:ランナー佐々木帰塁また一塁けん制:ランナー佐々木帰塁一塁走者佐々木:積極的に初球から盗塁を試みるもアウト 1アウトショートゴロ 2アウト
3回表,3,9.0,森下 暢仁,2,,空振り三振でバッターアウト 3アウト
3回裏,1,9.0,大野 雄大,0,,当てるだけのバッティングでサードゴロ 1アウト
3回裏,2,1.0,岡林 勇希,1,,ワンバウンドした球を空振り三振 2アウト
3回裏,3,2.0,細川 成也,2,,ストレートのフォアボールで出塁 一塁
3回裏,4,3.0,村松 開人,2,1塁,セカンドフライ 3アウト
4回表,1,1.0,名原 典彦,0,,ストレートのフォアボールで出塁 一塁
4回表,2,2.0,菊池 涼介,0,1塁,一塁けん制:ランナー名原帰塁6-4-3のダブルプレー 2アウト
4回表,3,3.0,ファビアン,2,,左中間への同点ホームラン！ 中 1-1 広
4回表,4,4.0,坂倉 将吾,2,,セカンドゴロ 3アウト
4回裏,1,4.0,サノー,0,,四球を選ぶ 一塁
4回裏,2,5.0,石川 昂弥,0,1塁,レフトへのヒットで出塁 一二塁
4回裏,3,6.0,石伊 雄太,0,"1,2塁",0アウト一二塁の3-1から勝ち越しのタイムリーツーベース！ 中 2-1 広 二三塁
4回裏,4,7.0,ボスラー,0,"2,3塁",ストレートのフォアボールで出塁 満塁
4回裏,5,8.0,田中 幹也,0,満塁,－広島:コーチマウンドへむかう－坂倉(三)のファンブルにより出塁する 中 3-1 広 満塁
4回裏,6,9.0,大野 雄大,0,満塁,見逃し三振 1アウト
4回裏,7,1.0,岡林 勇希,1,満塁,1アウト満塁の3-1から押し出し四球 中 4-1 広 満塁
4回裏,8,2.0,細川 成也,1,満塁,－広島:内野手マウンドへ集まる－空振り三振でバッターアウト 2アウト
4回裏,9,3.0,村松 開人,2,満塁,2アウト満塁から高めの真っ直ぐを打つもセンターフライ 3アウト
5回表,1,5.0,小園 海斗,0,,センターへのヒットを放つ 一塁
5回表,2,6.0,モンテロ,0,1塁,高めのツーシームを打つもレフトフライ 1アウト
5回表,3,7.0,佐々木 泰,1,1塁,1-4-3のダブルプレー 3アウト
5回裏,1,4.0,サノー,0,,1-1からライトスタンドへのホームラン 中 5-1 広
5回裏,2,5.0,石川 昂弥,0,,センターへの二塁打 二塁
5回裏,3,6.0,石伊 雄太,0,2塁,セカンドゴロ 1アウト三塁
5回裏,4,7.0,ボスラー,1,3塁,1アウト三塁の3-1からレフトへの犠牲フライを放つ 中 6-1 広 2アウト
5回裏,5,8.0,田中 幹也,2,,レフトへのヒット 一塁
5回裏,6,9.0,大野 雄大,2,1塁,一度もバットを振ることなく三球三振 3アウト
6回表,1,8.0,石原 貴規,0,,ショートゴロ 1アウト
6回表,2,,二俣 翔一,1,,森下→代打:二俣空振り三振でバッターアウト 2アウト
6回表,3,1.0,名原 典彦,2,,ファーストゴロ 3アウト
6回裏,1,1.0,岡林 勇希,0,,投手交代:森下→常廣セカンドゴロ 1アウト
6回裏,2,2.0,細川 成也,1,,フォアボールを選ぶ 一塁
