イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,中川 圭太,0,,ファウルフライをソト(一)が捕球してバッターアウト 1アウト
1回表,2,2.0,山中 稜真,1,,サードゴロ 2アウト
1回表,3,3.0,西川 龍馬,2,,レフトへの二塁打 二塁
1回表,4,4.0,森 友哉,2,2塁,四球を選ぶ 一二塁
1回表,5,5.0,太田 椋,2,"1,2塁",一打先制の場面でピッチャーゴロ 3アウト
1回裏,1,1.0,藤原 恭大,0,,内角高めの球を打つもセンターフライ 1アウト
1回裏,2,2.0,西川 史礁,1,,死球を受ける 一塁
1回裏,3,3.0,山口 航輝,1,1塁,ファウルフライを山中(一)がつかんでバッターアウト 2アウト
1回裏,4,4.0,ソト,2,1塁,内角高めの真っ直ぐをライトへ打ってヒット 一二塁
1回裏,5,5.0,佐藤 都志也,2,"1,2塁",四球を選ぶ 満塁
1回裏,6,6.0,愛斗,2,満塁,2アウト満塁からレフトへの先制タイムリーヒット！ ロ 1-0 オ 満塁
1回裏,7,7.0,池田 来翔,2,満塁,－オリックス:コーチマウンドへむかう－カウント1-2から空振り三振 3アウト
2回表,1,6.0,紅林 弘太郎,0,,ストレートのフォアボールで出塁 一塁
2回表,2,7.0,宗 佑磨,0,1塁,空振り三振でバッターアウト 1アウト
2回表,3,8.0,若月 健矢,1,1塁,空振り三振に倒れるもスタートを切っていた一塁走者紅林が盗塁成功 2アウト二塁
2回表,4,9.0,来田 涼斗,2,2塁,ランナー二塁の2-2からライトへの同点タイムリーツーベース！ ロ 1-1 オ 二塁
2回表,5,1.0,中川 圭太,2,2塁,カウント1-2からワンバウンドした球を空振り三振 3アウト
2回裏,1,8.0,小川 龍成,0,,ショートゴロ 1アウト
2回裏,2,9.0,友杉 篤輝,1,,センターへのヒットを放つ 一塁
2回裏,3,1.0,藤原 恭大,1,1塁,一塁けん制:ランナー友杉帰塁0-2からライトへのタイムリーツーベースでロッテ勝ち越し！ ロ 2-1 オ 二塁
2回裏,4,2.0,西川 史礁,1,2塁,ランナー二塁の2-2からセンターへのタイムリーヒット ロ 3-1 オ 一塁
2回裏,5,3.0,山口 航輝,1,1塁,投手交代:田嶋大→博志6-4-3のダブルプレー 3アウト
3回表,1,2.0,山中 稜真,0,,センターへの二塁打 二塁
3回表,2,3.0,西川 龍馬,0,2塁,0アウト二塁から低めのストレートを打つもレフトフライ 1アウト
3回表,3,4.0,森 友哉,1,2塁,1アウト二塁の3-1から右中間への同点2ランホームラン！ ロ 3-3 オ1:14【3回表】フルスイング!! バファローズ・森友哉 ライトへ同点の2ランホームランを放つ!! 2026年7月10日 千葉ロッテマリーンズ 対 オリックス・バファローズ
3回表,4,5.0,太田 椋,1,,空振り三振 2アウト
3回表,5,6.0,紅林 弘太郎,2,,ショートゴロ 3アウト
3回裏,1,4.0,ソト,0,,センターへのヒットを放つ 一塁
3回裏,2,5.0,佐藤 都志也,0,1塁,高めの変化球を打つもセンターフライ 1アウト
3回裏,3,6.0,愛斗,1,1塁,6-4-3のダブルプレー 3アウト
4回表,1,7.0,宗 佑磨,0,,センターへのヒット 一塁
4回表,2,8.0,若月 健矢,0,1塁,見事送りバントを成功させる 1アウト二塁
4回表,3,9.0,来田 涼斗,1,2塁,ランナー二塁からレフトへのヒットで出塁 一三塁
4回表,4,1.0,中川 圭太,1,"1,3塁",－ロッテ:コーチマウンドへむかう－ランナー一三塁の1-0からレフトへのタイムリーヒットでオリックス勝ち越し！ ロ 3-4 オ 一二塁
4回表,5,2.0,山中 稜真,1,"1,2塁",投手交代:廣池→カスティーヨ低めの球を打つもライトフライ 2アウト一三塁
4回表,6,3.0,西川 龍馬,2,"1,3塁",ファーストゴロ 3アウト
4回裏,1,7.0,池田 来翔,0,,ファウルフライを西川(左)がつかんでバッターアウト 1アウト
4回裏,2,8.0,小川 龍成,1,,セカンドゴロ 2アウト
4回裏,3,9.0,友杉 篤輝,2,,外角の球を打つもセンターフライ 3アウト
5回表,1,4.0,森 友哉,0,,投手交代:カスティーヨ→八木センターへのヒット 一塁
5回表,2,5.0,太田 椋,0,1塁,ショートフライ 1アウト
