イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,中島 大輔,0,,センターへのヒットを放つ 一塁
1回表,2,2.0,黒川 史陽,0,1塁,一塁けん制:ランナー中島帰塁一塁けん制:ランナー中島帰塁10球目のスライダーを打つもサードゴロ 1アウト二塁
1回表,3,3.0,辰己 涼介,1,2塁,ストレートのフォアボールで出塁 一二塁
1回表,4,4.0,マッカスカー,1,"1,2塁",ダブルプレー 3アウト
1回裏,1,1.0,正木 智也,0,,フォアボールを選ぶ 一塁
1回裏,2,2.0,牧原 大成,0,1塁,低めの変化球を打つもセンターフライ 1アウト
1回裏,3,3.0,近藤 健介,1,1塁,レフトへのヒットで出塁 一三塁
1回裏,4,4.0,栗原 陵矢,1,"1,3塁",1アウト一三塁からレフトへの先制タイムリーヒット！ ソ 1-0 楽 一二塁
1回裏,5,5.0,柳田 悠岐,1,"1,2塁",ど真ん中のカーブを打つもライトフライ 2アウト
1回裏,6,6.0,廣瀨 隆太,2,"1,2塁",高めの球を打つもライトフライ 3アウト
2回表,1,5.0,村林 一輝,0,,ピッチャーゴロ 1アウト
2回表,2,6.0,浅村 栄斗,1,,ハーフスイングを取られて空振り三振 2アウト
2回表,3,7.0,平良 竜哉,2,,見逃し三振でバッターアウト！ 3アウト
2回裏,1,7.0,周東 佑京,0,,レフトへのヒットを放つ 一塁
2回裏,2,8.0,庄子 雄大,0,1塁,一塁けん制:ランナー周東帰塁全く反応できず見逃し三振でバッターアウト 1アウト
2回裏,3,9.0,海野 隆司,1,1塁,一塁けん制:ランナー周東帰塁一塁けん制:ランナー周東帰塁また一塁けん制:ランナー周東帰塁ソフトバンク・周東の二塁盗塁セーフの判定を巡り、楽天がリクエストリプレー検証後判定変わらず空振り三振に倒れるもスタートを切っていた一塁走者周東が盗塁成功 2アウト二塁
2回裏,4,1.0,正木 智也,2,2塁,カウント1-2から見逃し三振でバッターアウト！ 3アウト
3回表,1,8.0,太田 光,0,,全く反応できず三球三振 1アウト
3回表,2,9.0,ワォーターズ,1,,センターへのヒットで出塁 一塁
3回表,3,1.0,中島 大輔,1,1塁,一塁けん制:ランナーワォーターズ帰塁強烈な内野安打 一二塁
3回表,4,2.0,黒川 史陽,1,"1,2塁",ワンバウンドした球に空振り、三振を喫する 2アウト
3回表,5,3.0,辰己 涼介,2,"1,2塁",二塁けん制:ランナーワォーターズ帰塁2アウト一二塁からセカンドゴロ 3アウト
3回裏,1,2.0,牧原 大成,0,,ファーストへの内野安打 一塁
3回裏,2,3.0,近藤 健介,0,1塁,外角低めのスライダーを打つもセンターフライ 1アウト
3回裏,3,4.0,栗原 陵矢,1,1塁,0-1から右中間への2ランホームラン ソ 3-0 楽0:52【3回裏】確信の一発!! ホークス・栗原陵矢 右中間への2ランホームランを放つ!! 2026年7月12日 福岡ソフトバンクホークス 対 東北楽天ゴールデンイーグルス
3回裏,4,5.0,柳田 悠岐,1,,ど真ん中のカットボールを打つもライトフライ 2アウト0:35【3回裏】イーグルス・中島大輔 ライナー性の打球を見事にスライディングキャッチ!! 2026年7月12日 福岡ソフトバンクホークス 対 東北楽天ゴールデンイーグルス
3回裏,5,6.0,廣瀨 隆太,2,,全く反応できず見逃し三振でバッターアウト 3アウト
4回表,1,4.0,マッカスカー,0,,高めのチェンジアップを打つもレフトフライ 1アウト
4回表,2,5.0,村林 一輝,1,,ショートゴロ 2アウト
4回表,3,6.0,浅村 栄斗,2,,空振りの三振を喫する 3アウト
4回裏,1,7.0,周東 佑京,0,,ショートゴロ 1アウト
4回裏,2,8.0,庄子 雄大,1,,ファウルフライを黒川(一)が捕球してバッターアウト 2アウト
4回裏,3,9.0,海野 隆司,2,,ライトへのヒットで出塁 一塁
4回裏,4,1.0,正木 智也,2,1塁,高めの真っ直ぐを打つもライトフライ 3アウト
5回表,1,7.0,平良 竜哉,0,,ピッチャーゴロ 1アウト
5回表,2,8.0,太田 光,1,,空振りの三振を喫する 2アウト
5回表,3,9.0,ワォーターズ,2,,全く手が出ず見逃し三振でバッターアウト 3アウト
5回裏,1,2.0,牧原 大成,0,,セカンドゴロ 1アウト
5回裏,2,3.0,近藤 健介,1,,ど真ん中の変化球を打つもレフトフライ 2アウト
5回裏,3,4.0,栗原 陵矢,2,,キャッチャーフライ 3アウト
6回表,1,1.0,中島 大輔,0,,ライトへのヒットを放つ 一塁
6回表,2,2.0,黒川 史陽,0,1塁,セカンドゴロ 1アウト一塁
6回表,3,3.0,辰己 涼介,1,1塁,空振り三振でバッターアウト 2アウト
6回表,4,4.0,マッカスカー,2,1塁,高めのつり球に空振り三振 3アウト0:24【6回表】今季最多の9奪三振!! ホークス・松本晴 6回を投げて無失点!! 2026年7月12日 福岡ソフトバンクホークス 対 東北楽天ゴールデンイーグルス
6回裏,1,5.0,柳田 悠岐,0,,外角低めのスライダーを打つもレフトフライ 1アウト
6回裏,2,6.0,廣瀨 隆太,1,,空振り三振でバッターアウト 2アウト
6回裏,3,7.0,周東 佑京,2,,見逃し三振でバッターアウト！ 3アウト
7回表,1,5.0,村林 一輝,0,,ピッチャー松本晴に代わってオスナがマウンドにあがるショートゴロ 1アウト
7回表,2,6.0,浅村 栄斗,1,,外角高めの球を打つもセンターフライ 2アウト
7回表,3,7.0,平良 竜哉,2,,ど真ん中のストレートを打つもレフトフライ 3アウト
