イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,正木 智也,0,,レフトへのヒットで出塁 一塁
1回表,2,2.0,周東 佑京,0,1塁,見逃し三振でバッターアウト！ 1アウト
1回表,3,3.0,近藤 健介,1,1塁,センターへの二塁打 二三塁
1回表,4,4.0,栗原 陵矢,1,"2,3塁",空振りの三振を喫する 2アウト
1回表,5,5.0,牧原 大成,2,"2,3塁",8球粘るも外角高めの真っ直ぐに空振り三振 3アウト
1回裏,1,1.0,水野 達稀,0,,ど真ん中の球を打つもライトフライ 1アウト
1回裏,2,2.0,清宮 幸太郎,1,,8球粘った末に見逃し三振でバッターアウト！ 2アウト
1回裏,3,3.0,レイエス,2,,ファーストへのファウルフライに倒れる 3アウト
2回表,1,6.0,柳田 悠岐,0,,外角の球を打つもサードライナー 1アウト
2回表,2,7.0,ダウンズ,1,,空振り三振でバッターアウト 2アウト
2回表,3,8.0,庄子 雄大,2,,空振りの三振を喫する 3アウト
2回裏,1,4.0,万波 中正,0,,センターへのツーベース 二塁
2回裏,2,5.0,吉田 賢吾,0,2塁,右打ちのバッティングを見せセカンドゴロ 1アウト三塁
2回裏,3,6.0,郡司 裕也,1,3塁,すっぽ抜けの球に当たりデッドボールとなる 一三塁
2回裏,4,7.0,野村 佑希,1,"1,3塁",－治療中－高めのつり球に空振り三振 2アウト
2回裏,5,8.0,大塚 瑠晏,2,"1,3塁",一打先制の場面で空振り三振！決定機を逃す 3アウト
3回表,1,9.0,海野 隆司,0,,8球粘った末に四球を選ぶ 一塁
3回表,2,1.0,正木 智也,0,1塁,ライトへのヒットを放つ 一二塁
3回表,3,2.0,周東 佑京,0,"1,2塁",見事送りバントを決める 1アウト二三塁
3回表,4,3.0,近藤 健介,1,"2,3塁",セカンドゴロ三塁走者海野は走塁死 2アウト一三塁
3回表,5,4.0,栗原 陵矢,2,"1,3塁",一打先制の場面でセカンドゴロ 3アウト
3回裏,1,9.0,進藤 勇也,0,,ワンバウンドした球を空振り三振 1アウト
3回裏,2,1.0,水野 達稀,1,,フォアボールを選ぶ 一塁
3回裏,3,2.0,清宮 幸太郎,1,1塁,一塁走者水野:盗塁を試みるもアウト 2アウトセカンドゴロ 3アウト
4回表,1,5.0,牧原 大成,0,,ファーストゴロ 1アウト
4回表,2,6.0,柳田 悠岐,1,,見逃し三振でバッターアウト！ 2アウト
4回表,3,7.0,ダウンズ,2,,外角高めのストレートを打つもライトフライ 3アウト
4回裏,1,3.0,レイエス,0,,レフトへのヒットで出塁 一塁
4回裏,2,4.0,万波 中正,0,1塁,内角のツーシームを打つもライトフライ 1アウト
4回裏,3,5.0,吉田 賢吾,1,1塁,フォアボールを選ぶ 一二塁
4回裏,4,6.0,郡司 裕也,1,"1,2塁",1アウト一二塁からセンターへのヒットで出塁 満塁
4回裏,5,7.0,野村 佑希,1,満塁,空振り三振でバッターアウト 2アウト
4回裏,6,8.0,大塚 瑠晏,2,満塁,一打先制の場面でファーストゴロ 3アウト
5回表,1,8.0,庄子 雄大,0,,空振り三振でバッターアウト 1アウト
5回表,2,9.0,海野 隆司,1,,セカンドゴロ 2アウト
5回表,3,1.0,正木 智也,2,,2-0からレフトスタンドへのホームランでソフトバンク先制！ 日 0-1 ソ0:53【5回表】均衡を破る一弾!! ホークス・正木智也 あっという間にスタンド中段へと届く特大HR!! 2026年7月14日 北海道日本ハムファイターズ 対 福岡ソフトバンクホークス
5回表,4,2.0,周東 佑京,2,,ファーストフライ 3アウト
5回裏,1,9.0,進藤 勇也,0,,外角低めの変化球を打つもセンターフライ 1アウト
5回裏,2,1.0,水野 達稀,1,,空振りの三振を喫する 2アウト
5回裏,3,2.0,清宮 幸太郎,2,,低めの球をセンターへ打ってヒット 一塁
5回裏,4,3.0,レイエス,2,1塁,空振り三振でバッターアウト 3アウト
6回表,1,3.0,近藤 健介,0,,セカンドゴロ 1アウト
6回表,2,4.0,栗原 陵矢,1,,サードゴロ 2アウト
6回表,3,5.0,牧原 大成,2,,セカンドゴロ 3アウト
6回裏,1,4.0,万波 中正,0,,センターへのヒットを放つ 一塁
6回裏,2,5.0,吉田 賢吾,0,1塁,死球を受ける 一二塁
6回裏,3,6.0,郡司 裕也,0,"1,2塁",0アウト一二塁からレフトへのヒットで出塁 満塁
6回裏,4,,細川 凌平,0,満塁,野村→代打:細川ショートフライ 1アウト
6回裏,5,8.0,大塚 瑠晏,1,満塁,ファーストゴロ 2アウト満塁
6回裏,6,,田宮 裕涼,2,満塁,進藤→代打:田宮一打逆転の場面で高めのストレートを打つもレフトフライ 3アウト
7回表,1,6.0,柳田 悠岐,0,,守備変更:細川→サード　守備変更:田宮→キャッチャー内角低めの落ちる球を打つもライトフライ 1アウト
7回表,2,7.0,ダウンズ,1,,空振り三振 2アウト
7回表,3,8.0,庄子 雄大,2,,ファウルフライを細川(三)がつかんでバッターアウト 3アウト
7回裏,1,1.0,水野 達稀,0,,ピッチャー上沢に代わってオスナがマウンドにあがるセンターへのヒットで出塁 一塁
7回裏,2,2.0,清宮 幸太郎,0,1塁,日本ハム・水野の一塁けん制セーフの判定を巡り、ソフトバンクがリクエストリプレー検証後判定変わらず一塁けん制:ランナー水野帰塁オスナ(投):けん制球を悪送球 二塁ど真ん中のストレートを打つもライトフライ 1アウト三塁
7回裏,3,3.0,レイエス,1,3塁,1アウト三塁からライトへの犠牲フライを放つ日本ハム同点！ 日 1-1 ソ 2アウト
7回裏,4,4.0,万波 中正,2,,ライトへポテンヒットを放つ 一塁
7回裏,5,5.0,吉田 賢吾,2,1塁,低めの球を打つもレフトフライ 3アウト
8回表,1,9.0,海野 隆司,0,,投手交代:北山→達ファーストゴロ 1アウト
