イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,近本 光司,0,,柳(投)の悪送球により出塁する 二塁
1回表,2,2.0,中野 拓夢,0,2塁,外角のストレートを打つもセンターフライ 1アウト
1回表,3,3.0,森下 翔太,1,2塁,低めの球を打つもセンターフライ 2アウト
1回表,4,4.0,佐藤 輝明,2,2塁,一打先制の場面で空振り三振！決定機を逃す 3アウト
1回裏,1,1.0,岡林 勇希,0,,サードゴロ 1アウト
1回裏,2,2.0,細川 成也,1,,セカンドゴロ 2アウト
1回裏,3,3.0,村松 開人,2,,セカンドゴロ 3アウト
2回表,1,5.0,大山 悠輔,0,,ショートゴロ 1アウト
2回表,2,6.0,前川 右京,1,,外角高めのストレートを打つもレフトフライ 2アウト
2回表,3,7.0,伏見 寅威,2,,ショートゴロ 3アウト
2回裏,1,4.0,サノー,0,,見逃し三振でバッターアウト！ 1アウト
2回裏,2,5.0,石川 昂弥,1,,外角の球を打つもセンターフライ 2アウト
2回裏,3,6.0,石伊 雄太,2,,7球粘った末にフォアボールを選ぶ 一塁
2回裏,4,7.0,ボスラー,2,1塁,一塁けん制:ランナー石伊帰塁空振りの三振を喫する 3アウト
3回表,1,8.0,小幡 竜平,0,,空振りの三振を喫する 1アウト
3回表,2,9.0,伊原 陵人,1,,低めの球を打つもレフトフライ 2アウト
3回表,3,1.0,近本 光司,2,,セカンドゴロ 3アウト
3回裏,1,8.0,福永 裕基,0,,ショートへの内野安打 一塁
3回裏,2,9.0,柳 裕也,0,1塁,一塁けん制:ランナー福永帰塁見事送りバントを決める 1アウト二塁
3回裏,3,1.0,岡林 勇希,1,2塁,外角低めの球を打つもレフトフライ 2アウト
3回裏,4,2.0,細川 成也,2,2塁,ストレートのフォアボールで出塁 一二塁
3回裏,5,3.0,村松 開人,2,"1,2塁",－阪神:コーチマウンドへむかう－2アウト一二塁の1-1からセンターへのタイムリーヒットで中日先制！ 中 1-0 神 一二塁
3回裏,6,4.0,サノー,2,"1,2塁",7球粘った末に空振り三振でバッターアウト 3アウト
4回表,1,2.0,中野 拓夢,0,,外角低めの変化球を打つもレフトフライ 1アウト
4回表,2,3.0,森下 翔太,1,,ストレートのフォアボールで出塁 一塁
4回表,3,4.0,佐藤 輝明,1,1塁,ど真ん中のカットボールを打つもセカンドライナー 2アウト
4回表,4,5.0,大山 悠輔,2,1塁,セカンドゴロ 3アウト
4回裏,1,5.0,石川 昂弥,0,,見逃し三振 1アウト
4回裏,2,6.0,石伊 雄太,1,,キャッチャーフライ 2アウト
4回裏,3,7.0,ボスラー,2,,粘りを見せて8球目にフォアボールを選ぶ 一塁
4回裏,4,8.0,福永 裕基,2,1塁,外角低めのスライダーを打つもライトフライ 3アウト
5回表,1,6.0,前川 右京,0,,空振り三振でバッターアウト 1アウト
5回表,2,7.0,伏見 寅威,1,,低めの変化球を打つもセンターフライ 2アウト
5回表,3,8.0,小幡 竜平,2,,ファウルフライを村松(遊)が捕球してバッターアウト 3アウト
5回裏,1,9.0,柳 裕也,0,,ど真ん中の球を打つもレフトフライ 1アウト
