イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,近本 光司,0,,ファウルフライを坂倉(三)が捕球してバッターアウト 1アウト
1回表,2,2.0,髙寺 望夢,1,,セカンドゴロ 2アウト
1回表,3,3.0,森下 翔太,2,,外角の真っ直ぐを打つもライトフライ 3アウト
1回裏,1,1.0,名原 典彦,0,,レフトへのヒットで出塁 一塁
1回裏,2,2.0,菊池 涼介,0,1塁,一塁けん制:ランナー名原帰塁また一塁けん制:ランナー名原帰塁一塁けん制:ランナー名原帰塁5-4-3のダブルプレー 2アウト
1回裏,3,3.0,ファビアン,2,,ショートゴロ 3アウト
2回表,1,4.0,佐藤 輝明,0,,ショートゴロ 1アウト
2回表,2,5.0,大山 悠輔,1,,ショートゴロ 2アウト
2回表,3,6.0,立石 正広,2,,センターへのヒットで出塁 一塁
2回表,4,7.0,梅野 隆太郎,2,1塁,一塁けん制:ランナー立石帰塁レフトへのヒット 一二塁
2回表,5,8.0,熊谷 敬宥,2,"1,2塁",ランナー一二塁からピッチャーへの強烈な打球の内野安打 満塁
2回表,6,9.0,伊藤 将司,2,満塁,一打先制の場面でワンバウンドした球に空振り、三振を喫する 3アウト
2回裏,1,4.0,坂倉 将吾,0,,ライトへのエンタイトルツーベース 二塁
2回裏,2,5.0,小園 海斗,0,2塁,ピッチャーゴロ 1アウト
2回裏,3,6.0,モンテロ,1,2塁,ランナー二塁からショートへの内野安打 一二塁
2回裏,4,7.0,佐々木 泰,1,"1,2塁",ランナー一二塁からど真ん中のカットボールを打つもセンターフライ 2アウト一三塁
2回裏,5,8.0,持丸 泰輝,2,"1,3塁",－阪神:コーチマウンドへむかう－ストレートのフォアボールで出塁 満塁
2回裏,6,9.0,栗林 良吏,2,満塁,一打先制の場面で見逃し三振！決定機を逃す 3アウト
3回表,1,1.0,近本 光司,0,,ライトへのヒットで出塁 一塁
3回表,2,2.0,髙寺 望夢,0,1塁,一塁けん制:ランナー近本帰塁また一塁けん制:ランナー近本帰塁一塁走者近本:盗塁を試みるもアウト 1アウトハーフスイングを取られて空振り三振でバッターアウト 2アウト
3回表,3,3.0,森下 翔太,2,,ショートゴロ 3アウト
3回裏,1,1.0,名原 典彦,0,,ボテボテのショートゴロ 1アウト
3回裏,2,2.0,菊池 涼介,1,,ショートゴロ 2アウト
3回裏,3,3.0,ファビアン,2,,外角の真っ直ぐを打つもセンターフライ 3アウト
4回表,1,4.0,佐藤 輝明,0,,ボテボテのピッチャーゴロ 1アウト
4回表,2,5.0,大山 悠輔,1,,坂倉(三)の悪送球により出塁する 一塁
4回表,3,6.0,立石 正広,1,1塁,外角高めの変化球を打つもライトフライ 2アウト
4回表,4,7.0,梅野 隆太郎,2,1塁,サードゴロ 3アウト
4回裏,1,4.0,坂倉 将吾,0,,ファーストゴロ 1アウト
4回裏,2,5.0,小園 海斗,1,,セカンドゴロ 2アウト
4回裏,3,6.0,モンテロ,2,,内角の球を打つもレフトフライ 3アウト
5回表,1,8.0,熊谷 敬宥,0,,高めの真っ直ぐを打つもセンターフライ 1アウト
5回表,2,9.0,伊藤 将司,1,,ワンバウンドした球を空振り三振 2アウト
5回表,3,1.0,近本 光司,2,,ライトへのヒットを放つ 一塁
5回表,4,2.0,髙寺 望夢,2,1塁,一塁けん制:ランナー近本帰塁1-2からライトへの先制タイムリーツーベース！ 広 0-1 神 二塁
5回表,5,3.0,森下 翔太,2,2塁,外角低めの球を打つもレフトフライ 3アウト
5回裏,1,7.0,佐々木 泰,0,,センターへのヒットで出塁 一塁
5回裏,2,8.0,持丸 泰輝,0,1塁,センターへのヒットを放つ 一二塁
5回裏,3,9.0,栗林 良吏,0,"1,2塁",見事送りバントを成功させる 1アウト二三塁
5回裏,4,1.0,名原 典彦,1,"2,3塁",死球を受ける 満塁
5回裏,5,2.0,菊池 涼介,1,満塁,－阪神:コーチマウンドへむかう－ランナーフルベースの1-2からライトへの犠牲フライを放つ広島同点！ 広 1-1 神 2アウト一三塁
5回裏,6,3.0,ファビアン,2,"1,3塁",一塁けん制:ランナー名原帰塁全く反応できず見逃し三振 3アウト
6回表,1,4.0,佐藤 輝明,0,,ワンバウンドした球を空振り三振 1アウト
6回表,2,5.0,大山 悠輔,1,,センターへのヒットを放つ 一塁
