イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,秋山 翔吾,0,,ファーストゴロ 1アウト
1回表,2,2.0,菊池 涼介,1,,レフトへのヒットを放つ 一塁
1回表,3,3.0,ファビアン,1,1塁,死球を受ける 一二塁
1回表,4,4.0,坂倉 将吾,1,"1,2塁",1アウト一二塁から外角の球を打つもサードライナー二塁走者菊池は塁を飛び出しておりダブルプレー！ 3アウト
1回裏,1,1.0,浦田 俊輔,0,,センターへのヒットで出塁 一塁
1回裏,2,2.0,吉川 尚輝,0,1塁,菊池(二)のファンブルにより出塁する 一二塁
1回裏,3,3.0,泉口 友汰,0,"1,2塁",0アウト一二塁の2-2からセンターへのタイムリーヒットで巨人先制！ 巨 1-0 広 一二塁0:557/21【巨人vs広島】1回裏 泉口 センターへの先制タイムリーヒット！
1回裏,4,4.0,ダルベック,0,"1,2塁",ランナー一二塁からライトへのヒットで出塁 満塁
1回裏,5,5.0,大城 卓三,0,満塁,－広島:コーチマウンドへむかう－ランナーフルベースからライトへのタイムリーヒット 巨 2-0 広 満塁
1回裏,6,6.0,笹原 操希,0,満塁,0アウト満塁の1-2からダブルプレーの間に一人ランナーがかえり巨人1点をあげる 巨 3-0 広 2アウト三塁
1回裏,7,7.0,丸 佳浩,2,3塁,セカンドゴロ 3アウト
2回表,1,5.0,モンテロ,0,,空振り三振でバッターアウト 1アウト
2回表,2,6.0,小園 海斗,1,,センターへのヒットで出塁 一塁
2回表,3,7.0,大盛 穂,1,1塁,ファウルフライを浦田(三)が捕球してバッターアウト 2アウト
2回表,4,8.0,石原 貴規,2,1塁,空振り三振 3アウト
2回裏,1,8.0,佐々木 俊輔,0,,センターへのヒットを放つ 一塁
2回裏,2,9.0,山﨑 伊織,0,1塁,一塁けん制:ランナー佐々木帰塁見事送りバントを成功させる 1アウト二塁
2回裏,3,1.0,浦田 俊輔,1,2塁,1アウト二塁の2-1からセンターへのタイムリーヒット 巨 4-0 広 一塁
2回裏,4,2.0,吉川 尚輝,1,1塁,巨人・浦田の本塁セーフの判定を巡り、広島がリクエストリプレー検証後判定変わらずカウント0-1からセンターへタイムリーツーベース！ 巨 5-0 広 三塁
2回裏,5,3.0,泉口 友汰,1,3塁,－広島:コーチマウンドへむかう－ランナー三塁の2-2からレフトへの犠牲フライを放つ 巨 6-0 広 2アウト
2回裏,6,4.0,ダルベック,2,,ピッチャー岡本のグラブをはじく内野安打 一塁
2回裏,7,5.0,大城 卓三,2,1塁,内角高めの変化球を打つもライトフライ 3アウト
3回表,1,9.0,岡本 駿,0,,セカンドゴロ 1アウト
