イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,勝又 温史,0,,ファーストゴロ 1アウト
1回表,2,2.0,牧 秀悟,1,,ワンバウンドした球を空振り三振 2アウト
1回表,3,3.0,佐野 恵太,2,,セカンドゴロ 3アウト
1回裏,1,1.0,岡林 勇希,0,,ファウルフライを勝又(左)がつかんでバッターアウト 1アウト
1回裏,2,2.0,細川 成也,1,,空振り三振でバッターアウト 2アウト
1回裏,3,3.0,村松 開人,2,,ファーストゴロ 3アウト
2回表,1,4.0,エンカーナシオン,0,,ショートゴロ 1アウト
2回表,2,5.0,宮﨑 敏郎,1,,センターへのヒットで出塁 一塁
2回表,3,6.0,松尾 汐恩,1,1塁,センターへのヒット 一二塁
2回表,4,7.0,蝦名 達夫,1,"1,2塁",ダブルプレー 3アウト
2回裏,1,4.0,サノー,0,,ボテボテのピッチャーゴロ 1アウト
2回裏,2,5.0,石川 昂弥,1,,見逃し三振でバッターアウト！ 2アウト
2回裏,3,6.0,板山 祐太郎,2,,空振り三振でバッターアウト 3アウト
3回表,1,8.0,宮下 朝陽,0,,ライトへのヒットを放つ 一塁
3回表,2,9.0,尾形 崇斗,0,1塁,一塁けん制:ランナー宮下帰塁スリーバントを試みるも失敗！ 1アウト
3回表,3,1.0,勝又 温史,1,1塁,当てるだけのバッティングでサードゴロ 2アウト二塁
3回表,4,2.0,牧 秀悟,2,2塁,一打先制の場面でセカンドゴロ 3アウト
3回裏,1,7.0,福永 裕基,0,,サードゴロ 1アウト
3回裏,2,8.0,石伊 雄太,1,,カウント1-1からレフトスタンドへの先制ホームラン！ 中 1-0 デ
3回裏,3,9.0,金丸 夢斗,1,,空振り三振 2アウト
3回裏,4,1.0,岡林 勇希,2,,外角のストレートを打つもショートライナー 3アウト
4回表,1,3.0,佐野 恵太,0,,キャッチャーゴロ 1アウト
4回表,2,4.0,エンカーナシオン,1,,セカンドゴロ 2アウト
4回表,3,5.0,宮﨑 敏郎,2,,カウント3-1からレフトスタンドへの同点ホームラン！ 中 1-1 デ
4回表,4,6.0,松尾 汐恩,2,,セカンドゴロ 3アウト
4回裏,1,2.0,細川 成也,0,,ワンバウンドした球に空振り、三振を喫する 1アウト
4回裏,2,3.0,村松 開人,1,,あたりそこないの打球がセカンドへ転がり内野安打で出塁 一塁
4回裏,3,4.0,サノー,1,1塁,一塁けん制:ランナー村松帰塁また一塁けん制:ランナー村松帰塁フォアボールを選ぶ 一二塁
4回裏,4,5.0,石川 昂弥,1,"1,2塁",－DeNA:内野手マウンドへ集まる－空振り三振 2アウト
4回裏,5,6.0,板山 祐太郎,2,"1,2塁",ピッチャーゴロ 3アウト
5回表,1,7.0,蝦名 達夫,0,,低めの球を打つもライトフライ 1アウト
5回表,2,8.0,宮下 朝陽,1,,内角低めの変化球を打つもセンターフライ 2アウト
5回表,3,9.0,尾形 崇斗,2,,空振り三振でバッターアウト 3アウト
5回裏,1,7.0,福永 裕基,0,,外角のストレートを打つもライトフライ 1アウト
5回裏,2,8.0,石伊 雄太,1,,牧(二)のファンブルにより出塁する 一塁
5回裏,3,9.0,金丸 夢斗,1,1塁,一塁けん制:ランナー石伊帰塁スリーバントを試みるも失敗！ 2アウト
5回裏,4,1.0,岡林 勇希,2,1塁,フォアボールを選ぶ 一二塁
5回裏,5,2.0,細川 成也,2,"1,2塁",－DeNA:コーチマウンドへむかう－カウント2-2から空振り三振でバッターアウト 3アウト
6回表,1,1.0,勝又 温史,0,,セカンドゴロ 1アウト
6回表,2,2.0,牧 秀悟,1,,見逃し三振 2アウト
6回表,3,3.0,佐野 恵太,2,,空振りの三振を喫する 3アウト
6回裏,1,3.0,村松 開人,0,,四球を選ぶ 一塁
6回裏,2,4.0,サノー,0,1塁,一塁けん制:ランナー村松帰塁内角高めの球を打つもセンターフライ 1アウト
6回裏,3,5.0,石川 昂弥,1,1塁,一塁けん制:ランナー村松帰塁一塁けん制:ランナー村松帰塁また一塁けん制:ランナー村松帰塁一塁けん制:ランナー村松帰塁低めの変化球を打つもセンターフライ 2アウト
6回裏,4,6.0,板山 祐太郎,2,1塁,高めのつり球に空振り三振 3アウト
7回表,1,4.0,エンカーナシオン,0,,7球粘った末に見逃し三振 1アウト
7回表,2,5.0,宮﨑 敏郎,1,,空振り三振でバッターアウト 2アウト
7回表,3,6.0,松尾 汐恩,2,,フォアボールを選ぶ 一塁
7回表,4,7.0,蝦名 達夫,2,1塁,一塁けん制:ランナー松尾帰塁セカンドゴロ 3アウト
7回裏,1,7.0,福永 裕基,0,,投手交代:尾形→松本凌空振り三振 1アウト
7回裏,2,8.0,石伊 雄太,1,,サードゴロ 2アウト
7回裏,3,,ボスラー,2,,金丸→代打:ボスラーファーストゴロ 3アウト
8回表,1,8.0,宮下 朝陽,0,,投手交代:金丸→橋本空振りの三振を喫する 1アウト
8回表,2,,林 琢真,1,,松本凌→代打:林低めの変化球を打つもセンターフライ 2アウト
8回表,3,1.0,勝又 温史,2,,当てるだけのバッティングでショートゴロ 3アウト
8回裏,1,1.0,岡林 勇希,0,,投手交代:松本凌→宮城低めのストレートを打つもセンターフライ 1アウト
8回裏,2,2.0,細川 成也,1,,－治療中－守備交代:センター神里四球を選ぶ 一塁
8回裏,3,3.0,村松 開人,1,1塁,一塁走者細川→代走:樋口中日・樋口の二塁盗塁セーフの判定を巡り、DeNAがリクエストリプレー検証後判定変わらず一塁走者樋口:盗塁成功 二塁ランナー二塁からサードゴロ 2アウト
8回裏,4,4.0,サノー,2,2塁,一塁が空いているため敬遠で勝負を避けられる 一二塁
8回裏,5,5.0,石川 昂弥,2,"1,2塁",－DeNA:内野手マウンドへ集まる－二塁けん制:ランナー樋口帰塁ストレートのフォアボールで出塁 満塁
8回裏,6,6.0,板山 祐太郎,2,満塁,－DeNA:コーチマウンドへむかう－ランナーフルベースの1-0からセンターへの勝ち越しタイムリースリーベース！ 中 4-1 デ 三塁
8回裏,7,7.0,福永 裕基,2,3塁,－DeNA:監督マウンドへむかう－投手交代:宮城→吉野ランナー三塁の1-2からレフトへのタイムリーヒット 中 5-1 デ 一塁
8回裏,8,8.0,石伊 雄太,2,1塁,外角低めの真っ直ぐを打つもライトフライ 3アウト
9回表,1,2.0,牧 秀悟,0,,投手交代:橋本→松山守備交代:セカンド土田守備変更:樋口→レフト　守備変更:福永セカンド→ファーストワンバウンドした球に空振り、三振を喫する 1アウト
9回表,2,3.0,佐野 恵太,1,,空振り三振 2アウト
9回表,3,4.0,エンカーナシオン,2,,空振りの三振を喫する 3アウト試合終了
