イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,岡林 勇希,0,,内角低めのスライダーを打つもライトフライ 1アウト
1回表,2,2.0,細川 成也,1,,ライトへのヒットを放つ 一塁
1回表,3,3.0,村松 開人,1,1塁,外角のストレートを打つもショートライナー 2アウト
1回表,4,4.0,サノー,2,1塁,センターへのヒットで出塁 一二塁
1回表,5,5.0,石川 昂弥,2,"1,2塁",一打先制の場面でファーストゴロ 3アウト
1回裏,1,1.0,名原 典彦,0,,ショートゴロ 1アウト
1回裏,2,2.0,菊池 涼介,1,,ショートゴロ 2アウト
1回裏,3,3.0,ファビアン,2,,空振り三振でバッターアウト 3アウト
2回表,1,6.0,板山 祐太郎,0,,ファーストゴロ 1アウト
2回表,2,7.0,福永 裕基,1,,センターへの二塁打 二塁
2回表,3,8.0,石伊 雄太,1,2塁,1アウト二塁からレフトへのヒットで出塁 一三塁
2回表,4,9.0,髙橋 宏斗,1,"1,3塁",一塁けん制:ランナー石伊帰塁1アウト一三塁からセーフティスクイズ成功！床田(投)のフィルダースチョイスにより髙橋宏は出塁 広 0-1 中 一二塁
2回表,5,1.0,岡林 勇希,1,"1,2塁",四球を選ぶ。ピッチャー床田にとって痛いフォアボールとなる 満塁
2回表,6,2.0,細川 成也,1,満塁,－広島:コーチマウンドへむかう－4-6-3のダブルプレー 3アウト
2回裏,1,4.0,坂倉 将吾,0,,セカンドゴロ 1アウト
2回裏,2,5.0,秋山 翔吾,1,,内角低めのストレートを打つもショートライナー 2アウト
2回裏,3,6.0,小園 海斗,2,,ライトへのヒットで出塁 一塁
2回裏,4,7.0,佐々木 泰,2,1塁,空振り三振でバッターアウト 3アウト
3回表,1,3.0,村松 開人,0,,ボテボテのキャッチャーゴロ 1アウト
3回表,2,4.0,サノー,1,,外角のスライダーを打つもセンターフライ 2アウト
3回表,3,5.0,石川 昂弥,2,,ライトへの二塁打 二塁
3回表,4,6.0,板山 祐太郎,2,2塁,フルカウントから空振り三振 3アウト
3回裏,1,8.0,持丸 泰輝,0,,ショートゴロ 1アウト
3回裏,2,9.0,床田 寛樹,1,,見逃し三振 2アウト
3回裏,3,1.0,名原 典彦,2,,広島・名原の一塁アウトの判定を巡り、広島がリクエストリプレー検証後判定変わらずセカンドゴロ 3アウト
4回表,1,7.0,福永 裕基,0,,セカンドゴロ 1アウト
4回表,2,8.0,石伊 雄太,1,,ショートゴロ 2アウト
4回表,3,9.0,髙橋 宏斗,2,,見逃し三振 3アウト
4回裏,1,2.0,菊池 涼介,0,,空振りの三振を喫する 1アウト
4回裏,2,3.0,ファビアン,1,,サードゴロ 2アウト
4回裏,3,4.0,坂倉 将吾,2,,四球を選ぶ 一塁
4回裏,4,5.0,秋山 翔吾,2,1塁,ピッチャーゴロ 3アウト
5回表,1,1.0,岡林 勇希,0,,セカンドゴロ 1アウト
5回表,2,2.0,細川 成也,1,,センターへポテンヒットを放つ 一塁
5回表,3,3.0,村松 開人,1,1塁,外角低めの球を打つもレフトフライ 2アウト
5回表,4,4.0,サノー,2,1塁,ショートゴロ 3アウト
5回裏,1,6.0,小園 海斗,0,,外角低めのスプリットを打つもレフトフライ 1アウト
5回裏,2,7.0,佐々木 泰,1,,ショートゴロ 2アウト
5回裏,3,8.0,持丸 泰輝,2,,空振り三振 3アウト
6回表,1,5.0,石川 昂弥,0,,サードゴロ 1アウト
6回表,2,6.0,板山 祐太郎,1,,外角低めのカットボールを打つもセンターフライ 2アウト
6回表,3,7.0,福永 裕基,2,,セカンドゴロ 3アウト
6回裏,1,9.0,床田 寛樹,0,,ショートゴロ 1アウト
6回裏,2,1.0,名原 典彦,1,,センターへのスリーベース 三塁
6回裏,3,2.0,菊池 涼介,1,3塁,空振りの三振を喫する 2アウト
6回裏,4,3.0,ファビアン,2,3塁,一打同点の場面で低めの球を打つもセンターフライ 3アウト
7回表,1,8.0,石伊 雄太,0,,フォアボールを選ぶ 一塁
7回表,2,9.0,髙橋 宏斗,0,1塁,一塁けん制:ランナー石伊帰塁見事送りバントを決める 1アウト二塁
7回表,3,1.0,岡林 勇希,1,2塁,セカンドゴロ 2アウト三塁
7回表,4,2.0,細川 成也,2,3塁,－広島:コーチマウンドへむかう－ショートゴロ 3アウト
7回裏,1,4.0,坂倉 将吾,0,,ショートゴロ 1アウト
7回裏,2,5.0,秋山 翔吾,1,,センターへのヒットで出塁 一塁
7回裏,3,6.0,小園 海斗,1,1塁,ライトへのヒットを放つ 一三塁
7回裏,4,7.0,佐々木 泰,1,"1,3塁",三塁走者秋山→代走:大盛－中日:コーチマウンドへむかう－髙橋宏(投)の悪送球により出塁する広島同点！ 広 1-1 中 二三塁
7回裏,5,8.0,持丸 泰輝,1,"2,3塁",空振りの三振を喫する 2アウト
7回裏,6,,佐藤 啓介,2,"2,3塁",床田→代打:佐藤啓一打勝ち越しの場面で内角低めの落ちる球を打つもセカンドライナー 3アウト
8回表,1,3.0,村松 開人,0,,投手交代:床田→髙守備変更:名原センター→ライト　守備変更:大盛→センターセカンドゴロ 1アウト
8回表,2,4.0,サノー,1,,空振り三振 2アウト
8回表,3,5.0,石川 昂弥,2,,ライトへのファウルフライに倒れる 3アウト
8回裏,1,1.0,名原 典彦,0,,投手交代:髙橋宏→橋本セカンドゴロ 1アウト
8回裏,2,2.0,菊池 涼介,1,,3-1からレフトスタンドへのホームランで広島勝ち越し！ 広 2-1 中
8回裏,3,3.0,ファビアン,1,,外角の球を打つもライトフライ 2アウト
8回裏,4,4.0,坂倉 将吾,2,,フォアボールを選ぶ 一塁
8回裏,5,5.0,大盛 穂,2,1塁,カウント0-1からライトへのタイムリースリーベース！ 広 3-1 中 三塁
8回裏,6,6.0,小園 海斗,2,3塁,ショートゴロ 3アウト
9回表,1,6.0,板山 祐太郎,0,,ピッチャー髙に代わって森浦がマウンドにあがる　守備交代:ライト久保守備交代:ショート勝田守備変更:名原ライト→レフト詰まった打球はセカンドゴロ 1アウト
9回表,2,7.0,福永 裕基,1,,フォアボールを選ぶ 一塁
9回表,3,8.0,石伊 雄太,1,1塁,森浦(投):暴投 二塁空振り三振でバッターアウト 2アウト
9回表,4,,阿部 寿樹,2,2塁,橋本→代打:阿部代打で登場するも空振り三振に倒れる 3アウト試合終了
